     #Energy       W_all      Mo_all      Ti_all      Os_all
   -73.13348     0.00000     0.00000     0.00000     0.00000
   -73.12248     0.00000     0.00000     0.00000     0.00000
   -73.11248     0.00000     0.00000     0.00000     0.00000
   -73.10148     0.00000     0.00000     0.00000     0.00000
   -73.09048     0.00000     0.00000     0.00000     0.00000
   -73.08048     0.00000     0.00000     0.00000     0.00000
   -73.06948     0.00000     0.00000     0.00000     0.00000
   -73.05848     0.00000     0.00000     0.00000     0.00000
   -73.04748     0.00000     0.00000     0.00000     0.00000
   -73.03748     0.00000     0.00000     0.00000     0.00000
   -73.02648     0.00000     0.00000     0.00000     0.00000
   -73.01548     0.00000     0.00000     0.00000     0.00000
   -73.00548     0.00000     0.00000     0.00000     0.00000
   -72.99448     0.00000     0.00000     0.00000     0.00000
   -72.98348     0.00000     0.00000     0.00000     0.00000
   -72.97348     0.00000     0.00000     0.00000     0.00000
   -72.96248     0.00000     0.00000     0.00000     0.00000
   -72.95148     0.00000     0.00000     0.00000     0.00000
   -72.94048     0.00000     0.00000     0.00000     0.00000
   -72.93048     0.00000     0.00000     0.00000     0.00000
   -72.91948     0.00000     0.00000     0.00000     0.00000
   -72.90848     0.00000     0.00000     0.00000     0.00000
   -72.89848     0.00000     0.00000     0.00000     0.00000
   -72.88748     0.00000     0.00000     0.00000     0.00000
   -72.87648     0.00000     0.00000     0.00000     0.00000
   -72.86648     0.00000     0.00000     0.00000     0.00000
   -72.85548     0.00000     0.00000     0.00000     0.00000
