     #Energy       W_all      Mo_all      Pt_all      Zr_all
   -75.74423     0.00000     0.00000     0.00000     0.00000
   -75.73323     0.00000     0.00000     0.00000     0.00000
   -75.72223     0.00000     0.00000     0.00000     0.00000
   -75.71123     0.00000     0.00000     0.00000     0.00000
   -75.70023     0.00000     0.00000     0.00000     0.00000
   -75.68923     0.00000     0.00000     0.00000     0.00000
   -75.67823     0.00000     0.00000     0.00000     0.00000
   -75.66823     0.00000     0.00000     0.00000     0.00000
   -75.65723     0.00000     0.00000     0.00000     0.00000
   -75.64623     0.00000     0.00000     0.00000     0.00000
   -75.63523     0.00000     0.00000     0.00000     0.00000
   -75.62423     0.00000     0.00000     0.00000     0.00000
   -75.61323     0.00000     0.00000     0.00000     0.00000
   -75.60223     0.00000     0.00000     0.00000     0.00000
   -75.59123     0.00000     0.00000     0.00000     0.00000
   -75.58023     0.00000     0.00000     0.00000     0.00000
   -75.57023     0.00000     0.00000     0.00000     0.00000
   -75.55923     0.00000     0.00000     0.00000     0.00000
   -75.54823     0.00000     0.00000     0.00000     0.00000
   -75.53723     0.00000     0.00000     0.00000     0.00000
   -75.52623     0.00000     0.00000     0.00000     0.00000
   -75.51523     0.00000     0.00000     0.00000     0.00000
   -75.50423     0.00000     0.00000     0.00000     0.00000
   -75.49323     0.00000     0.00000     0.00000     0.00000
   -75.48223     0.00000     0.00000     0.00000     0.00000
   -75.47223     0.00000     0.00000     0.00000     0.00000
   -75.46123     0.00000     0.00000     0.00000     0.00000
   -75.45023     0.00000     0.00000     0.00000     0.00000
   -75.43923     0.00000     0.00000     0.00000     0.00000
   -75.42823     0.00000     0.00000     0.00000     0.00000
   -75.41723     0.00000     0.00000     0.00000     0.00000
   -75.40623     0.00000     0.00000     0.00000     0.00000
   -75.39523     0.00000     0.00000     0.00000     0.00000
   -75.38423     0.00000     0.00000     0.00000     0.00000
   -75.37423     0.00000     0.00000     0.00000     0.00000
   -75.36323     0.00000     0.00000     0.00000     0.00000
   -75.35223     0.00000     0.00000     0.00000     0.00000
   -75.34123     0.00000     0.00000     0.00000     0.00000
   -75.33023     0.00000     0.00000     0.00000     0.00000
   -75.31923     0.00000     0.00000     0.00000     0.00000
   -75.30823     0.00000     0.00000     0.00000     0.00000
   -75.29723     0.00000     0.00000     0.00000     0.00000
   -75.28623     0.00000     0.00000     0.00000     0.00000
   -75.27623     0.00000     0.00000     0.00000     0.00000
   -75.26523     0.00000     0.00000     0.00000     0.00000
   -75.25423     0.00000     0.00000     0.00000     0.00000
   -75.24323     0.00000     0.00000     0.00000     0.00000
   -75.23223     0.00000     0.00000     0.00000     0.00000
   -75.22123     0.00000     0.00000     0.00000     0.00000
   -75.21023     0.00000     0.00000     0.00000     0.00000
   -75.19923     0.00000     0.00000     0.00000     0.00000
   -75.18823     0.00000     0.00000     0.00000     0.00000
   -75.17823     0.00000     0.00000     0.00000     0.00000
   -75.16723     0.00000     0.00000     0.00000     0.00000
   -75.15623     0.00000     0.00000     0.00000     0.00000
   -75.14523     0.00000     0.00000     0.00000     0.00000
   -75.13423     0.00000     0.00000     0.00000     0.00000
   -75.12323     0.00000     0.00000     0.00000     0.00000
   -75.11223     0.00000     0.00000     0.00000     0.00000
   -75.10123     0.00000     0.00000     0.00000     0.00000
   -75.09023     0.00000     0.00000     0.00000     0.00000
   -75.08023     0.00000     0.00000     0.00000     0.00000
   -75.06923     0.00000     0.00000     0.00000     0.00000
   -75.05823     0.00000     0.00000     0.00000     0.00000
   -75.04723     0.00000     0.00000     0.00000     0.00000
   -75.03623     0.00000     0.00000     0.00000     0.00000
   -75.02523     0.00000     0.00000     0.00000     0.00000
   -75.01423     0.00000     0.00000     0.00000     0.00000
   -75.00323     0.00000     0.00000     0.00000     0.00000
   -74.99223     0.00000     0.00000     0.00000     0.00000
   -74.98223     0.00000     0.00000     0.00000     0.00000
   -74.97123     0.00000     0.00000     0.00000     0.00000
   -74.96023     0.00000     0.00000     0.00000     0.00000
   -74.94923     0.00000     0.00000     0.00000     0.00000
   -74.93823     0.00000     0.00000     0.00000     0.00000
   -74.92723     0.00000     0.00000     0.00000     0.00000
   -74.91623     0.00000     0.00000     0.00000     0.00000
   -74.90523     0.00000     0.00000     0.00000     0.00000
   -74.89423     0.00000     0.00000     0.00000     0.00000
   -74.88423     0.00000     0.00000     0.00000     0.00000
   -74.87323     0.00000     0.00000     0.00000     0.00000
   -74.86223     0.00000     0.00000     0.00000     0.00000
   -74.85123     0.00000     0.00000     0.00000     0.00000
   -74.84023     0.00000     0.00000     0.00000     0.00000
   -74.82923     0.00000     0.00000     0.00000     0.00000
   -74.81823     0.00000     0.00000     0.00000     0.00000
   -74.80723     0.00000     0.00000     0.00000     0.00000
   -74.79623     0.00000     0.00000     0.00000     0.00000
   -74.78623     0.00000     0.00000     0.00000     0.00000
   -74.77523     0.00000     0.00000     0.00000     0.00000
   -74.76423     0.00000     0.00000     0.00000     0.00000
   -74.75323     0.00000     0.00000     0.00000     0.00000
   -74.74223     0.00000     0.00000     0.00000     0.00000
   -74.73123     0.00000     0.00000     0.00000     0.00000
