     #Energy       W_all      Mo_all      Pd_all      Ti_all
   -74.75732     0.00000     0.00000     0.00000     0.00000
   -74.74632     0.00000     0.00000     0.00000     0.00000
   -74.73532     0.00000     0.00000     0.00000     0.00000
   -74.72532     0.00000     0.00000     0.00000     0.00000
   -74.71432     0.00000     0.00000     0.00000     0.00000
   -74.70332     0.00000     0.00000     0.00000     0.00000
   -74.69332     0.00000     0.00000     0.00000     0.00000
   -74.68232     0.00000     0.00000     0.00000     0.00000
   -74.67132     0.00000     0.00000     0.00000     0.00000
   -74.66132     0.00000     0.00000     0.00000     0.00000
   -74.65032     0.00000     0.00000     0.00000     0.00000
   -74.63932     0.00000     0.00000     0.00000     0.00000
   -74.62932     0.00000     0.00000     0.00000     0.00000
   -74.61832     0.00000     0.00000     0.00000     0.00000
   -74.60732     0.00000     0.00000     0.00000     0.00000
   -74.59732     0.00000     0.00000     0.00000     0.00000
   -74.58632     0.00000     0.00000     0.00000     0.00000
   -74.57532     0.00000     0.00000     0.00000     0.00000
   -74.56532     0.00000     0.00000     0.00000     0.00000
   -74.55432     0.00000     0.00000     0.00000     0.00000
   -74.54332     0.00000     0.00000     0.00000     0.00000
   -74.53332     0.00000     0.00000     0.00000     0.00000
   -74.52232     0.00000     0.00000     0.00000     0.00000
   -74.51132     0.00000     0.00000     0.00000     0.00000
   -74.50132     0.00000     0.00000     0.00000     0.00000
   -74.49032     0.00000     0.00000     0.00000     0.00000
   -74.47932     0.00000     0.00000     0.00000     0.00000
   -74.46932     0.00000     0.00000     0.00000     0.00000
   -74.45832     0.00000     0.00000     0.00000     0.00000
   -74.44732     0.00000     0.00000     0.00000     0.00000
   -74.43732     0.00000     0.00000     0.00000     0.00000
   -74.42632     0.00000     0.00000     0.00000     0.00000
   -74.41532     0.00000     0.00000     0.00000     0.00000
   -74.40532     0.00000     0.00000     0.00000     0.00000
   -74.39432     0.00000     0.00000     0.00000     0.00000
   -74.38332     0.00000     0.00000     0.00000     0.00000
   -74.37332     0.00000     0.00000     0.00000     0.00000
   -74.36232     0.00000     0.00000     0.00000     0.00000
   -74.35132     0.00000     0.00000     0.00000     0.00000
   -74.34132     0.00000     0.00000     0.00000     0.00000
   -74.33032     0.00000     0.00000     0.00000     0.00000
   -74.31932     0.00000     0.00000     0.00000     0.00000
   -74.30932     0.00000     0.00000     0.00000     0.00000
   -74.29832     0.00000     0.00000     0.00000     0.00000
   -74.28732     0.00000     0.00000     0.00000     0.00000
   -74.27732     0.00000     0.00000     0.00000     0.00000
   -74.26632     0.00000     0.00000     0.00000     0.00000
   -74.25532     0.00000     0.00000     0.00000     0.00000
   -74.24532     0.00000     0.00000     0.00000     0.00000
   -74.23432     0.00000     0.00000     0.00000     0.00000
   -74.22332     0.00000     0.00000     0.00000     0.00000
   -74.21332     0.00000     0.00000     0.00000     0.00000
   -74.20232     0.00000     0.00000     0.00000     0.00000
   -74.19232     0.00000     0.00000     0.00000     0.00000
   -74.18132     0.00000     0.00000     0.00000     0.00000
   -74.17032     0.00000     0.00000     0.00000     0.00000
   -74.16032     0.00000     0.00000     0.00000     0.00000
   -74.14932     0.00000     0.00000     0.00000     0.00000
   -74.13832     0.00000     0.00000     0.00000     0.00000
