     #Energy       W_all      Mo_all      Re_all      Ti_all
   -80.61641     0.00000     0.00000     0.00000     0.00000
   -80.60541     0.00000     0.00000     0.00000     0.00000
   -80.59341     0.00000     0.00000     0.00000     0.00000
   -80.58241     0.00000     0.00000     0.00000     0.00000
   -80.57041     0.00000     0.00000     0.00000     0.00000
   -80.55941     0.00000     0.00000     0.00000     0.00000
   -80.54741     0.00000     0.00000     0.00000     0.00000
   -80.53641     0.00000     0.00000     0.00000     0.00000
   -80.52441     0.00000     0.00000     0.00000     0.00000
   -80.51341     0.00000     0.00000     0.00000     0.00000
   -80.50241     0.00175     0.00316   202.37604     0.00002
   -80.49041     0.00000     0.00000     0.00000     0.00000
   -80.47941     0.00000     0.00000     0.00000     0.00000
   -80.46741     0.00000     0.00000     0.00000     0.00000
   -80.45641     0.00000     0.00000     0.00000     0.00000
   -80.44441     0.00000     0.00000     0.00000     0.00000
   -80.43341     0.00000     0.00000     0.00000     0.00000
   -80.42141     0.00000     0.00000     0.00000     0.00000
   -80.41041     0.00000     0.00000     0.00000     0.00000
   -80.39841     0.00000     0.00000     0.00000     0.00000
   -80.38741     0.00000     0.00000     0.00000     0.00000
   -80.37541     0.00000     0.00000     0.00000     0.00000
   -80.36441     0.00000     0.00000     0.00000     0.00000
   -80.35241     0.00554     0.00180   202.35758     0.00003
   -80.34141     0.00000     0.00000     0.00000     0.00000
   -80.32941     0.00000     0.00000     0.00000     0.00000
   -80.31841     0.00000     0.00000     0.00000     0.00000
   -80.30641     0.00476     0.00173   202.62445     0.00036
   -80.29541     0.00000     0.00000     0.00000     0.00000
   -80.28441     0.00000     0.00000     0.00000     0.00000
   -80.27241     0.00666     0.00169   202.62013     0.00030
   -80.26141     0.00000     0.00000     0.00000     0.00000
   -80.24941     0.00000     0.00000     0.00000     0.00000
   -80.23841     0.00000     0.00000     0.00000     0.00000
   -80.22641     0.00576     0.00085   202.67948     0.00032
   -80.21541     0.00000     0.00000     0.00000     0.00000
   -80.20341     0.00000     0.00000     0.00000     0.00000
   -80.19241     0.00000     0.00000     0.00000     0.00000
   -80.18041     0.00000     0.00000     0.00000     0.00000
   -80.16941     0.00000     0.00000     0.00000     0.00000
   -80.15741     0.00008     0.00307   202.80801     0.00068
   -80.14641     0.00000     0.00000     0.00000     0.00000
   -80.13441     0.00000     0.00000     0.00000     0.00000
   -80.12341     0.00000     0.00000     0.00000     0.00000
   -80.11141     0.00000     0.00000     0.00000     0.00000
   -80.10041     0.00000     0.00000     0.00000     0.00000
   -80.08841     0.00000     0.00000     0.00000     0.00000
   -80.07741     0.00357     0.00192   203.03755     0.00105
   -80.06641     0.00000     0.00000     0.00000     0.00000
   -80.05441     0.00000     0.00000     0.00000     0.00000
   -80.04341     0.00000     0.00000     0.00000     0.00000
   -80.03141     0.00000     0.00000     0.00000     0.00000
   -80.02041     0.00000     0.00000     0.00000     0.00000
   -80.00841     0.00000     0.00000     0.00000     0.00000
   -79.99741     0.00000     0.00000     0.00000     0.00000
   -79.98541     0.00000     0.00000     0.00000     0.00000
   -79.97441     0.00291     0.00271   203.13835     0.00109
   -79.96241     0.00000     0.00000     0.00000     0.00000
   -79.95141     0.00000     0.00000     0.00000     0.00000
   -79.93941     0.00000     0.00000     0.00000     0.00000
   -79.92841     0.00000     0.00000     0.00000     0.00000
   -79.91641     0.00258     0.00171   203.00998     0.00099
   -79.90541     0.00000     0.00000     0.00000     0.00000
   -79.89341     0.00000     0.00000     0.00000     0.00000
   -79.88241     0.00000     0.00000     0.00000     0.00000
   -79.87041     0.00000     0.00000     0.00000     0.00000
   -79.85941     0.00000     0.00000     0.00000     0.00000
   -79.84841     0.00318     0.00254   203.20089     0.00109
   -79.83641     0.00000     0.00000     0.00000     0.00000
   -79.82541     0.00000     0.00000     0.00000     0.00000
   -79.81341     0.00000     0.00000     0.00000     0.00000
   -79.80241     0.00000     0.00000     0.00000     0.00000
   -79.79041     0.00000     0.00000     0.00000     0.00000
   -79.77941     0.00000     0.00000     0.00000     0.00000
   -79.76741     0.00000     0.00000     0.00000     0.00000
   -79.75641     0.00000     0.00000     0.00000     0.00000
   -79.74441     0.00000     0.00000     0.00000     0.00000
   -79.73341     0.00000     0.00000     0.00000     0.00000
   -79.72141     0.00000     0.00000     0.00000     0.00000
   -79.71041     0.00000     0.00000     0.00000     0.00000
   -79.69841     0.00000     0.00000     0.00000     0.00000
   -79.68741     0.00000     0.00000     0.00000     0.00000
   -79.67541     0.00000     0.00000     0.00000     0.00000
   -79.66441     0.00000     0.00000     0.00000     0.00000
   -79.65241     0.00000     0.00000     0.00000     0.00000
   -79.64141     0.00000     0.00000     0.00000     0.00000
   -79.63041     0.00000     0.00000     0.00000     0.00000
   -79.61841     0.00000     0.00000     0.00000     0.00000
   -79.60741     0.00000     0.00000     0.00000     0.00000
   -79.59541     0.00000     0.00000     0.00000     0.00000
   -79.58441     0.00000     0.00000     0.00000     0.00000
   -79.57241     0.00000     0.00000     0.00000     0.00000
   -79.56141     0.00000     0.00000     0.00000     0.00000
   -79.54941     0.00000     0.00000     0.00000     0.00000
   -79.53841     0.00000     0.00000     0.00000     0.00000
   -79.52641     0.00000     0.00000     0.00000     0.00000
   -79.51541     0.00000     0.00000     0.00000     0.00000
   -79.50341     0.00000     0.00000     0.00000     0.00000
   -79.49241     0.00000     0.00000     0.00000     0.00000
   -79.48041     0.00000     0.00000     0.00000     0.00000
   -79.46941     0.00000     0.00000     0.00000     0.00000
   -79.45741     0.00000     0.00000     0.00000     0.00000
   -79.44641     0.00000     0.00000     0.00000     0.00000
   -79.43441     0.00000     0.00000     0.00000     0.00000
   -79.42341     0.00000     0.00000     0.00000     0.00000
   -79.41241     0.00000     0.00000     0.00000     0.00000
   -79.40041     0.00000     0.00000     0.00000     0.00000
   -79.38941     0.00000     0.00000     0.00000     0.00000
   -79.37741     0.00000     0.00000     0.00000     0.00000
   -79.36641     0.00000     0.00000     0.00000     0.00000
   -79.35441     0.00000     0.00000     0.00000     0.00000
   -79.34341     0.00000     0.00000     0.00000     0.00000
   -79.33141     0.00000     0.00000     0.00000     0.00000
   -79.32041     0.00000     0.00000     0.00000     0.00000
   -79.30841     0.00000     0.00000     0.00000     0.00000
   -79.29741     0.00000     0.00000     0.00000     0.00000
   -79.28541     0.00000     0.00000     0.00000     0.00000
   -79.27441     0.00000     0.00000     0.00000     0.00000
   -79.26241     0.00000     0.00000     0.00000     0.00000
   -79.25141     0.00000     0.00000     0.00000     0.00000
   -79.23941     0.00000     0.00000     0.00000     0.00000
   -79.22841     0.00000     0.00000     0.00000     0.00000
   -79.21641     0.00000     0.00000     0.00000     0.00000
   -79.20541     0.00000     0.00000     0.00000     0.00000
