     #Energy       W_all      Mo_all      Ir_all      Ti_all
   -76.31782     0.00000     0.00000     0.00000     0.00000
   -76.30682     0.00000     0.00000     0.00000     0.00000
   -76.29582     0.00000     0.00000     0.00000     0.00000
   -76.28482     0.00000     0.00000     0.00000     0.00000
   -76.27482     0.00000     0.00000     0.00000     0.00000
   -76.26382     0.00000     0.00000     0.00000     0.00000
   -76.25282     0.00000     0.00000     0.00000     0.00000
   -76.24282     0.00000     0.00000     0.00000     0.00000
   -76.23182     0.00000     0.00000     0.00000     0.00000
   -76.22082     0.00000     0.00000     0.00000     0.00000
   -76.21082     0.00000     0.00000     0.00000     0.00000
   -76.19982     0.00000     0.00000     0.00000     0.00000
   -76.18882     0.00000     0.00000     0.00000     0.00000
   -76.17882     0.00000     0.00000     0.00000     0.00000
   -76.16782     0.00000     0.00000     0.00000     0.00000
   -76.15682     0.00000     0.00000     0.00000     0.00000
   -76.14682     0.00000     0.00000     0.00000     0.00000
   -76.13582     0.00000     0.00000     0.00000     0.00000
   -76.12482     0.00000     0.00000     0.00000     0.00000
   -76.11382     0.00000     0.00000     0.00000     0.00000
   -76.10382     0.00000     0.00000     0.00000     0.00000
   -76.09282     0.00000     0.00000     0.00000     0.00000
   -76.08182     0.00000     0.00000     0.00000     0.00000
   -76.07182     0.00000     0.00000     0.00000     0.00000
   -76.06082     0.00000     0.00000     0.00000     0.00000
   -76.04982     0.00000     0.00000     0.00000     0.00000
   -76.03982     0.00000     0.00000     0.00000     0.00000
   -76.02882     0.00000     0.00000     0.00000     0.00000
   -76.01782     0.00000     0.00000     0.00000     0.00000
   -76.00782     0.00000     0.00000     0.00000     0.00000
   -75.99682     0.00000     0.00000     0.00000     0.00000
   -75.98582     0.00000     0.00000     0.00000     0.00000
   -75.97482     0.00000     0.00000     0.00000     0.00000
   -75.96482     0.00000     0.00000     0.00000     0.00000
   -75.95382     0.00000     0.00000     0.00000     0.00000
   -75.94282     0.00000     0.00000     0.00000     0.00000
   -75.93282     0.00000     0.00000     0.00000     0.00000
   -75.92182     0.00000     0.00000     0.00000     0.00000
   -75.91082     0.00000     0.00000     0.00000     0.00000
   -75.90082     0.00000     0.00000     0.00000     0.00000
   -75.88982     0.00000     0.00000     0.00000     0.00000
   -75.87882     0.00000     0.00000     0.00000     0.00000
