     #Energy       W_all      Mo_all      Rh_all      Zr_all
   -73.99815     0.00000     0.00000     0.00000     0.00000
   -73.98715   185.94225     0.00809     0.00059     0.00049
   -73.97615     0.00000     0.00000     0.00000     0.00000
   -73.96515   185.89858     0.00570     0.00055     0.00023
   -73.95515     0.00000     0.00000     0.00000     0.00000
   -73.94415   185.97846     0.00340     0.00073     0.00016
   -73.93315     0.00000     0.00000     0.00000     0.00000
   -73.92315     0.00000     0.00000     0.00000     0.00000
   -73.91215   371.90049     0.01272     0.00068     0.00165
   -73.90115     0.00000     0.00000     0.00000     0.00000
   -73.89015  2581.47836     0.07379     0.01430     0.01288
   -73.88015    92.99079     0.00279     0.00051     0.00048
   -73.86915   185.99506     0.00341     0.00052     0.00040
   -73.85815     0.00000     0.00000     0.00000     0.00000
   -73.84715   186.05140     0.00237     0.00112     0.00043
   -73.83715     0.00000     0.00000     0.00000     0.00000
   -73.82615   186.03537     0.00685     0.00008     0.00038
   -73.81515     0.00000     0.00000     0.00000     0.00000
   -73.80515     0.00000     0.00000     0.00000     0.00000
   -73.79415     0.00000     0.00000     0.00000     0.00000
   -73.78315     0.00000     0.00000     0.00000     0.00000
   -73.77215     0.00000     0.00000     0.00000     0.00000
   -73.76215     0.00000     0.00000     0.00000     0.00000
   -73.75115     0.00000     0.00000     0.00000     0.00000
   -73.74015     0.00000     0.00000     0.00000     0.00000
   -73.72915     0.00000     0.00000     0.00000     0.00000
   -73.71915     0.00000     0.00000     0.00000     0.00000
   -73.70815     0.00000     0.00000     0.00000     0.00000
   -73.69715   185.96999     0.00301     0.00000     0.00134
   -73.68715     0.00000     0.00000     0.00000     0.00000
   -73.67615     0.00000     0.00000     0.00000     0.00000
   -73.66515     0.00000     0.00000     0.00000     0.00000
   -73.65415     0.00000     0.00000     0.00000     0.00000
   -73.64415     0.00000     0.00000     0.00000     0.00000
   -73.63315     0.00000     0.00000     0.00000     0.00000
   -73.62215     0.00000     0.00000     0.00000     0.00000
   -73.61115     0.00000     0.00000     0.00000     0.00000
   -73.60115     0.00000     0.00000     0.00000     0.00000
   -73.59015     0.00000     0.00000     0.00000     0.00000
   -73.57915     0.00000     0.00000     0.00000     0.00000
   -73.56915     0.00000     0.00000     0.00000     0.00000
   -73.55815     0.00000     0.00000     0.00000     0.00000
   -73.54715     0.00000     0.00000     0.00000     0.00000
   -73.53615     0.00000     0.00000     0.00000     0.00000
   -73.52615     0.00000     0.00000     0.00000     0.00000
   -73.51515     0.00000     0.00000     0.00000     0.00000
   -73.50415     0.00000     0.00000     0.00000     0.00000
   -73.49315     0.00000     0.00000     0.00000     0.00000
   -73.48315     0.00000     0.00000     0.00000     0.00000
   -73.47215     0.00000     0.00000     0.00000     0.00000
   -73.46115     0.00000     0.00000     0.00000     0.00000
   -73.45015     0.00000     0.00000     0.00000     0.00000
   -73.44015     0.00000     0.00000     0.00000     0.00000
   -73.42915     0.00000     0.00000     0.00000     0.00000
   -73.41815     0.00000     0.00000     0.00000     0.00000
   -73.40815     0.00000     0.00000     0.00000     0.00000
   -73.39715     0.00000     0.00000     0.00000     0.00000
   -73.38615     0.00000     0.00000     0.00000     0.00000
   -73.37515     0.00000     0.00000     0.00000     0.00000
   -73.36515     0.00000     0.00000     0.00000     0.00000
   -73.35415     0.00000     0.00000     0.00000     0.00000
   -73.34315     0.00000     0.00000     0.00000     0.00000
   -73.33215     0.00000     0.00000     0.00000     0.00000
   -73.32215     0.00000     0.00000     0.00000     0.00000
   -73.31115     0.00000     0.00000     0.00000     0.00000
   -73.30015     0.00000     0.00000     0.00000     0.00000
   -73.29015     0.00000     0.00000     0.00000     0.00000
   -73.27915     0.00000     0.00000     0.00000     0.00000
   -73.26815     0.00000     0.00000     0.00000     0.00000
   -73.25715     0.00000     0.00000     0.00000     0.00000
   -73.24715     0.00000     0.00000     0.00000     0.00000
   -73.23615     0.00000     0.00000     0.00000     0.00000
   -73.22515     0.00000     0.00000     0.00000     0.00000
   -73.21415     0.00000     0.00000     0.00000     0.00000
   -73.20415     0.00000     0.00000     0.00000     0.00000
   -73.19315     0.00000     0.00000     0.00000     0.00000
   -73.18215     0.00000     0.00000     0.00000     0.00000
   -73.17215     0.00000     0.00000     0.00000     0.00000
   -73.16115     0.00000     0.00000     0.00000     0.00000
   -73.15015     0.00000     0.00000     0.00000     0.00000
   -73.13915     0.00000     0.00000     0.00000     0.00000
   -73.12915     0.00000     0.00000     0.00000     0.00000
   -73.11815     0.00000     0.00000     0.00000     0.00000
   -73.10715     0.00000     0.00000     0.00000     0.00000
   -73.09615     0.00000     0.00000     0.00000     0.00000
   -73.08615     0.00000     0.00000     0.00000     0.00000
   -73.07515     0.00000     0.00000     0.00000     0.00000
   -73.06415     0.00000     0.00000     0.00000     0.00000
   -73.05415     0.00000     0.00000     0.00000     0.00000
   -73.04315     0.00000     0.00000     0.00000     0.00000
   -73.03215     0.00000     0.00000     0.00000     0.00000
   -73.02115     0.00000     0.00000     0.00000     0.00000
   -73.01115     0.00000     0.00000     0.00000     0.00000
   -73.00015     0.00000     0.00000     0.00000     0.00000
   -72.98915     0.00000     0.00000     0.00000     0.00000
   -72.97815     0.00000     0.00000     0.00000     0.00000
   -72.96815     0.00000     0.00000     0.00000     0.00000
   -72.95715     0.00000     0.00000     0.00000     0.00000
   -72.94615     0.00000     0.00000     0.00000     0.00000
   -72.93515     0.00000     0.00000     0.00000     0.00000
   -72.92515     0.00000     0.00000     0.00000     0.00000
   -72.91415     0.00000     0.00000     0.00000     0.00000
   -72.90315     0.00000     0.00000     0.00000     0.00000
   -72.89315     0.00000     0.00000     0.00000     0.00000
   -72.88215     0.00000     0.00000     0.00000     0.00000
   -72.87115     0.00000     0.00000     0.00000     0.00000
   -72.86015     0.00000     0.00000     0.00000     0.00000
   -72.85015     0.00000     0.00000     0.00000     0.00000
   -72.83915     0.00000     0.00000     0.00000     0.00000
   -72.82815     0.00000     0.00000     0.00000     0.00000
   -72.81715     0.00000     0.00000     0.00000     0.00000
   -72.80715     0.00000     0.00000     0.00000     0.00000
   -72.79615     0.00000     0.00000     0.00000     0.00000
   -72.78515     0.00000     0.00000     0.00000     0.00000
   -72.77515     0.00000     0.00000     0.00000     0.00000
   -72.76415     0.00000     0.00000     0.00000     0.00000
   -72.75315     0.00000     0.00000     0.00000     0.00000
   -72.74215     0.00000     0.00000     0.00000     0.00000
   -72.73215     0.00000     0.00000     0.00000     0.00000
   -72.72115     0.00000     0.00000     0.00000     0.00000
   -72.71015     0.00000     0.00000     0.00000     0.00000
   -72.69915     0.00000     0.00000     0.00000     0.00000
   -72.68915     0.00000     0.00000     0.00000     0.00000
   -72.67815     0.00000     0.00000     0.00000     0.00000
   -72.66715     0.00000     0.00000     0.00000     0.00000
   -72.65715     0.00000     0.00000     0.00000     0.00000
   -72.64615     0.00000     0.00000     0.00000     0.00000
   -72.63515     0.00000     0.00000     0.00000     0.00000
   -72.62415     0.00000     0.00000     0.00000     0.00000
   -72.61415     0.00000     0.00000     0.00000     0.00000
   -72.60315     0.00000     0.00000     0.00000     0.00000
   -72.59215     0.00000     0.00000     0.00000     0.00000
   -72.58115     0.00000     0.00000     0.00000     0.00000
   -72.57115     0.00000     0.00000     0.00000     0.00000
   -72.56015     0.00000     0.00000     0.00000     0.00000
   -72.54915     0.00000     0.00000     0.00000     0.00000
   -72.53915     0.00000     0.00000     0.00000     0.00000
   -72.52815     0.00000     0.00000     0.00000     0.00000
   -72.51715     0.00000     0.00000     0.00000     0.00000
   -72.50615     0.00000     0.00000     0.00000     0.00000
