     #Energy       W_all      Mo_all      Re_all      Zr_all
   -82.60540     0.00000     0.00000     0.00000     0.00000
   -82.59440     0.00000     0.00000     0.00000     0.00000
   -82.58240     0.00000     0.00000     0.00000     0.00000
   -82.57040     0.00000     0.00000     0.00000     0.00000
   -82.55940     0.00000     0.00000     0.00000     0.00000
   -82.54740     0.00000     0.00000     0.00000     0.00000
   -82.53640     0.00000     0.00000     0.00000     0.00000
   -82.52440     0.00000     0.00000     0.00000     0.00000
   -82.51340     0.00000     0.00000     0.00000     0.00000
   -82.50140     0.00000     0.00000     0.00000     0.00000
   -82.48940     0.00000     0.00000     0.00000     0.00000
   -82.47840     0.00000     0.00000     0.00000     0.00000
   -82.46640     0.00000     0.00000     0.00000     0.00000
   -82.45540     0.00000     0.00000     0.00000     0.00000
   -82.44340     0.00000     0.00000     0.00000     0.00000
   -82.43140     0.00000     0.00000     0.00000     0.00000
   -82.42040     0.00000     0.00000     0.00000     0.00000
   -82.40840     0.00000     0.00000     0.00000     0.00000
   -82.39740     0.00000     0.00000     0.00000     0.00000
   -82.38540     0.00000     0.00000     0.00000     0.00000
   -82.37440     0.00000     0.00000     0.00000     0.00000
   -82.36240     0.00000     0.00000     0.00000     0.00000
   -82.35040     0.00000     0.00000     0.00000     0.00000
   -82.33940     0.00000     0.00000     0.00000     0.00000
   -82.32740     0.00000     0.00000     0.00000     0.00000
   -82.31640     0.00000     0.00000     0.00000     0.00000
   -82.30440     0.00000     0.00000     0.00000     0.00000
   -82.29240     0.00000     0.00000     0.00000     0.00000
   -82.28140     0.00000     0.00000     0.00000     0.00000
   -82.26940     0.00000     0.00000     0.00000     0.00000
   -82.25840     0.00000     0.00000     0.00000     0.00000
   -82.24640     0.00000     0.00000     0.00000     0.00000
   -82.23540     0.00000     0.00000     0.00000     0.00000
   -82.22340     0.00000     0.00000     0.00000     0.00000
   -82.21140     0.00000     0.00000     0.00000     0.00000
   -82.20040     0.00000     0.00000     0.00000     0.00000
   -82.18840     0.00000     0.00000     0.00000     0.00000
   -82.17740     0.00000     0.00000     0.00000     0.00000
   -82.16540     0.00000     0.00000     0.00000     0.00000
   -82.15340     0.00000     0.00000     0.00000     0.00000
   -82.14240     0.00000     0.00000     0.00000     0.00000
   -82.13040     0.00000     0.00000     0.00000     0.00000
   -82.11940     0.00000     0.00000     0.00000     0.00000
   -82.10740     0.00000     0.00000     0.00000     0.00000
   -82.09640     0.00000     0.00000     0.00000     0.00000
   -82.08440     0.00000     0.00000     0.00000     0.00000
   -82.07240     0.00000     0.00000     0.00000     0.00000
   -82.06140     0.00000     0.00000     0.00000     0.00000
   -82.04940     0.00000     0.00000     0.00000     0.00000
   -82.03840     0.00000     0.00000     0.00000     0.00000
   -82.02640     0.00000     0.00000     0.00000     0.00000
   -82.01440     0.00000     0.00000     0.00000     0.00000
   -82.00340     0.00000     0.00000     0.00000     0.00000
   -81.99140     0.00000     0.00000     0.00000     0.00000
   -81.98040     0.00000     0.00000     0.00000     0.00000
   -81.96840     0.00000     0.00000     0.00000     0.00000
   -81.95740     0.00000     0.00000     0.00000     0.00000
   -81.94540     0.00000     0.00000     0.00000     0.00000
   -81.93340     0.00000     0.00000     0.00000     0.00000
   -81.92240     0.00000     0.00000     0.00000     0.00000
   -81.91040     0.00000     0.00000     0.00000     0.00000
   -81.89940     0.00000     0.00000     0.00000     0.00000
   -81.88740     0.00000     0.00000     0.00000     0.00000
   -81.87540     0.00000     0.00000     0.00000     0.00000
   -81.86440     0.00000     0.00000     0.00000     0.00000
   -81.85240     0.00000     0.00000     0.00000     0.00000
   -81.84140     0.00000     0.00000     0.00000     0.00000
   -81.82940     0.00000     0.00000     0.00000     0.00000
   -81.81840     0.00000     0.00000     0.00000     0.00000
   -81.80640     0.00000     0.00000     0.00000     0.00000
   -81.79440     0.00000     0.00000     0.00000     0.00000
