     #Energy       W_all      Mo_all      Pd_all
   -73.55035     0.00000     0.00000     0.00000
   -73.54035     0.00000     0.00000     0.00000
   -73.52935     0.00000     0.00000     0.00000
   -73.51835     0.00000     0.00000     0.00000
   -73.50835     0.00000     0.00000     0.00000
   -73.49735     0.00000     0.00000     0.00000
   -73.48735     0.00000     0.00000     0.00000
   -73.47635     0.00000     0.00000     0.00000
   -73.46535     0.00000     0.00000     0.00000
   -73.45535     0.00000     0.00000     0.00000
   -73.44435     0.00000     0.00000     0.00000
   -73.43435     0.00000     0.00000     0.00000
   -73.42335     0.00000     0.00000     0.00000
   -73.41335     0.00000     0.00000     0.00000
   -73.40235     0.00000     0.00000     0.00000
   -73.39135     0.00000     0.00000     0.00000
   -73.38135     0.00000     0.00000     0.00000
   -73.37035     0.00000     0.00000     0.00000
   -73.36035     0.00000     0.00000     0.00000
   -73.34935     0.00000     0.00000     0.00000
   -73.33835     0.00000     0.00000     0.00000
   -73.32835     0.00000     0.00000     0.00000
   -73.31735     0.00000     0.00000     0.00000
   -73.30735     0.00000     0.00000     0.00000
   -73.29635     0.00000     0.00000     0.00000
   -73.28635     0.00000     0.00000     0.00000
   -73.27535     0.00000     0.00000     0.00000
   -73.26435     0.00000     0.00000     0.00000
   -73.25435     0.00000     0.00000     0.00000
   -73.24335     0.00000     0.00000     0.00000
   -73.23335     0.00000     0.00000     0.00000
   -73.22235     0.00000     0.00000     0.00000
   -73.21135     0.00000     0.00000     0.00000
   -73.20135     0.00000     0.00000     0.00000
   -73.19035     0.00000     0.00000     0.00000
   -73.18035     0.00000     0.00000     0.00000
   -73.16935     0.00000     0.00000     0.00000
   -73.15835     0.00000     0.00000     0.00000
   -73.14835     0.00000     0.00000     0.00000
   -73.13735     0.00000     0.00000     0.00000
   -73.12735     0.00000     0.00000     0.00000
   -73.11635     0.00000     0.00000     0.00000
   -73.10635     0.00000     0.00000     0.00000
   -73.09535     0.00000     0.00000     0.00000
   -73.08435     0.00000     0.00000     0.00000
   -73.07435     0.00000     0.00000     0.00000
   -73.06335     0.00000     0.00000     0.00000
   -73.05335     0.00000     0.00000     0.00000
   -73.04235     0.00000     0.00000     0.00000
   -73.03135     0.00000     0.00000     0.00000
   -73.02135     0.00000     0.00000     0.00000
   -73.01035     0.00000     0.00000     0.00000
   -73.00035     0.00000     0.00000     0.00000
   -72.98935     0.00000     0.00000     0.00000
   -72.97935     0.00000     0.00000     0.00000
   -72.96835     0.00000     0.00000     0.00000
   -72.95735     0.00000     0.00000     0.00000
   -72.94735     0.00000     0.00000     0.00000
   -72.93635     0.00000     0.00000     0.00000
   -72.92635     0.00000     0.00000     0.00000
   -72.91535     0.00000     0.00000     0.00000
   -72.90435     0.00000     0.00000     0.00000
   -72.89435     0.00000     0.00000     0.00000
   -72.88335     0.00000     0.00000     0.00000
   -72.87335     0.00000     0.00000     0.00000
   -72.86235     0.00000     0.00000     0.00000
   -72.85135     0.00000     0.00000     0.00000
   -72.84135     0.00000     0.00000     0.00000
   -72.83035     0.00000     0.00000     0.00000
