     #Energy       W_all      Mo_all      Rh_all      Ti_all
   -73.37419     0.00000     0.00000     0.00000     0.00000
   -73.36319     0.00000     0.00000     0.00000     0.00000
   -73.35319     0.00000     0.00000     0.00000     0.00000
   -73.34219     0.00000     0.00000     0.00000     0.00000
   -73.33219     0.00000     0.00000     0.00000     0.00000
   -73.32119     0.00000     0.00000     0.00000     0.00000
   -73.31019     0.00000     0.00000     0.00000     0.00000
   -73.30019     0.00000     0.00000     0.00000     0.00000
   -73.28919     0.00000     0.00000     0.00000     0.00000
   -73.27919     0.00000     0.00000     0.00000     0.00000
   -73.26819     0.00000     0.00000     0.00000     0.00000
   -73.25819     0.00000     0.00000     0.00000     0.00000
   -73.24719     0.00000     0.00000     0.00000     0.00000
   -73.23619     0.00000     0.00000     0.00000     0.00000
   -73.22619     0.00000     0.00000     0.00000     0.00000
   -73.21519     0.00000     0.00000     0.00000     0.00000
   -73.20519     0.00000     0.00000     0.00000     0.00000
   -73.19419     0.00000     0.00000     0.00000     0.00000
   -73.18419     0.00000     0.00000     0.00000     0.00000
   -73.17319     0.00000     0.00000     0.00000     0.00000
   -73.16219     0.00000     0.00000     0.00000     0.00000
   -73.15219     0.00000     0.00000     0.00000     0.00000
   -73.14119     0.00000     0.00000     0.00000     0.00000
   -73.13119     0.00000     0.00000     0.00000     0.00000
   -73.12019     0.00000     0.00000     0.00000     0.00000
   -73.11019     0.00000     0.00000     0.00000     0.00000
   -73.09919     0.00000     0.00000     0.00000     0.00000
   -73.08819     0.00000     0.00000     0.00000     0.00000
   -73.07819     0.00000     0.00000     0.00000     0.00000
   -73.06719     0.00000     0.00000     0.00000     0.00000
   -73.05719     0.00000     0.00000     0.00000     0.00000
   -73.04619     0.00000     0.00000     0.00000     0.00000
   -73.03619     0.00000     0.00000     0.00000     0.00000
   -73.02519     0.00000     0.00000     0.00000     0.00000
   -73.01419     0.00000     0.00000     0.00000     0.00000
   -73.00419     0.00000     0.00000     0.00000     0.00000
   -72.99319     0.00000     0.00000     0.00000     0.00000
   -72.98319     0.00000     0.00000     0.00000     0.00000
   -72.97219     0.00000     0.00000     0.00000     0.00000
   -72.96219     0.00000     0.00000     0.00000     0.00000
   -72.95119     0.00000     0.00000     0.00000     0.00000
   -72.94019     0.00000     0.00000     0.00000     0.00000
   -72.93019     0.00000     0.00000     0.00000     0.00000
   -72.91919     0.00000     0.00000     0.00000     0.00000
   -72.90919     0.00000     0.00000     0.00000     0.00000
   -72.89819     0.00000     0.00000     0.00000     0.00000
   -72.88719     0.00000     0.00000     0.00000     0.00000
   -72.87719     0.00000     0.00000     0.00000     0.00000
   -72.86619     0.00000     0.00000     0.00000     0.00000
   -72.85619     0.00000     0.00000     0.00000     0.00000
   -72.84519     0.00000     0.00000     0.00000     0.00000
   -72.83519     0.00000     0.00000     0.00000     0.00000
   -72.82419     0.00000     0.00000     0.00000     0.00000
   -72.81319     0.00000     0.00000     0.00000     0.00000
   -72.80319     0.00000     0.00000     0.00000     0.00000
   -72.79219     0.00000     0.00000     0.00000     0.00000
   -72.78219     0.00000     0.00000     0.00000     0.00000
   -72.77119     0.00000     0.00000     0.00000     0.00000
   -72.76119     0.00000     0.00000     0.00000     0.00000
   -72.75019     0.00000     0.00000     0.00000     0.00000
   -72.73919     0.00000     0.00000     0.00000     0.00000
   -72.72919     0.00000     0.00000     0.00000     0.00000
   -72.71819     0.00000     0.00000     0.00000     0.00000
   -72.70819     0.00000     0.00000     0.00000     0.00000
   -72.69719     0.00000     0.00000     0.00000     0.00000
   -72.68719     0.00000     0.00000     0.00000     0.00000
   -72.67619     0.00000     0.00000     0.00000     0.00000
   -72.66519     0.00000     0.00000     0.00000     0.00000
   -72.65519     0.00000     0.00000     0.00000     0.00000
   -72.64419     0.00000     0.00000     0.00000     0.00000
   -72.63419     0.00000     0.00000     0.00000     0.00000
   -72.62319     0.00000     0.00000     0.00000     0.00000
   -72.61319     0.00000     0.00000     0.00000     0.00000
   -72.60219     0.00000     0.00000     0.00000     0.00000
   -72.59119     0.00000     0.00000     0.00000     0.00000
   -72.58119     0.00000     0.00000     0.00000     0.00000
   -72.57019     0.00000     0.00000     0.00000     0.00000
   -72.56019     0.00000     0.00000     0.00000     0.00000
   -72.54919     0.00000     0.00000     0.00000     0.00000
   -72.53919     0.00000     0.00000     0.00000     0.00000
   -72.52819     0.00000     0.00000     0.00000     0.00000
   -72.51719     0.00000     0.00000     0.00000     0.00000
