     #Energy       W_all      Mo_all      Os_all      Hf_all
   -76.96092     0.00000     0.00000     0.00000     0.00000
   -76.94992     0.00000     0.00000     0.00000     0.00000
   -76.93892     0.00000     0.00000     0.00000     0.00000
   -76.92792     0.00000     0.00000     0.00000     0.00000
   -76.91692     0.00000     0.00000     0.00000     0.00000
   -76.90592     0.00000     0.00000     0.00000     0.00000
   -76.89492     0.00000     0.00000     0.00000     0.00000
   -76.88392     0.00000     0.00000     0.00000     0.00000
   -76.87292     0.00000     0.00000     0.00000     0.00000
   -76.86192     0.00000     0.00000     0.00000     0.00000
   -76.85092     0.00000     0.00000     0.00000     0.00000
   -76.83992     0.00000     0.00000     0.00000     0.00000
   -76.82892     0.00000     0.00000     0.00000     0.00000
   -76.81792     0.00000     0.00000     0.00000     0.00000
   -76.80692     0.00000     0.00000     0.00000     0.00000
   -76.79592     0.00000     0.00000     0.00000     0.00000
   -76.78492     0.00000     0.00000     0.00000     0.00000
   -76.77392     0.00000     0.00000     0.00000     0.00000
   -76.76292     0.00000     0.00000     0.00000     0.00000
   -76.75192     0.00000     0.00000     0.00000     0.00000
   -76.74092     0.00000     0.00000     0.00000     0.00000
   -76.72992     0.00000     0.00000     0.00000     0.00000
   -76.71892     0.00000     0.00000     0.00000     0.00000
   -76.70792     0.00000     0.00000     0.00000     0.00000
   -76.69692     0.00000     0.00000     0.00000     0.00000
   -76.68592     0.00000     0.00000     0.00000     0.00000
   -76.67492     0.00000     0.00000     0.00000     0.00000
   -76.66392     0.00000     0.00000     0.00000     0.00000
   -76.65292     0.00000     0.00000     0.00000     0.00000
   -76.64192     0.00000     0.00000     0.00000     0.00000
   -76.63092     0.00000     0.00000     0.00000     0.00000
   -76.61992     0.00000     0.00000     0.00000     0.00000
   -76.60892     0.00000     0.00000     0.00000     0.00000
   -76.59792     0.00000     0.00000     0.00000     0.00000
   -76.58692     0.00000     0.00000     0.00000     0.00000
   -76.57592     0.00000     0.00000     0.00000     0.00000
   -76.56492     0.00000     0.00000     0.00000     0.00000
   -76.55392     0.00000     0.00000     0.00000     0.00000
   -76.54292     0.00000     0.00000     0.00000     0.00000
   -76.53192     0.00000     0.00000     0.00000     0.00000
   -76.52092     0.00000     0.00000     0.00000     0.00000
   -76.50992     0.00000     0.00000     0.00000     0.00000
   -76.49892     0.00000     0.00000     0.00000     0.00000
   -76.48792     0.00000     0.00000     0.00000     0.00000
   -76.47692     0.00000     0.00000     0.00000     0.00000
   -76.46592     0.00000     0.00000     0.00000     0.00000
   -76.45492     0.00000     0.00000     0.00000     0.00000
   -76.44292     0.00000     0.00000     0.00000     0.00000
