     #Energy       W_all      Mo_all      Os_all      Zr_all
   -77.55521     0.00000     0.00000     0.00000     0.00000
   -77.54421     0.00000     0.00000     0.00000     0.00000
   -77.53321     0.00000     0.00000     0.00000     0.00000
   -77.52221     0.00000     0.00000     0.00000     0.00000
   -77.51221     0.00000     0.00000     0.00000     0.00000
   -77.50121     0.00000     0.00000     0.00000     0.00000
   -77.49021     0.00000     0.00000     0.00000     0.00000
   -77.47921     0.00000     0.00000     0.00000     0.00000
   -77.46821     0.00000     0.00000     0.00000     0.00000
   -77.45721     0.00000     0.00000     0.00000     0.00000
   -77.44621     0.00000     0.00000     0.00000     0.00000
   -77.43521     0.00000     0.00000     0.00000     0.00000
   -77.42421     0.00000     0.00000     0.00000     0.00000
   -77.41321     0.00000     0.00000     0.00000     0.00000
   -77.40221     0.00000     0.00000     0.00000     0.00000
   -77.39221     0.00000     0.00000     0.00000     0.00000
   -77.38121     0.00000     0.00000     0.00000     0.00000
   -77.37021     0.00000     0.00000     0.00000     0.00000
   -77.35921     0.00000     0.00000     0.00000     0.00000
   -77.34821     0.00000     0.00000     0.00000     0.00000
   -77.33721     0.00000     0.00000     0.00000     0.00000
   -77.32621     0.00000     0.00000     0.00000     0.00000
   -77.31521     0.00000     0.00000     0.00000     0.00000
   -77.30421     0.00000     0.00000     0.00000     0.00000
   -77.29321     0.00000     0.00000     0.00000     0.00000
   -77.28221     0.00000     0.00000     0.00000     0.00000
   -77.27221     0.00000     0.00000     0.00000     0.00000
   -77.26121     0.00000     0.00000     0.00000     0.00000
   -77.25021     0.00000     0.00000     0.00000     0.00000
   -77.23921     0.00000     0.00000     0.00000     0.00000
   -77.22821     0.00000     0.00000     0.00000     0.00000
   -77.21721     0.00000     0.00000     0.00000     0.00000
   -77.20621     0.00000     0.00000     0.00000     0.00000
   -77.19521     0.00000     0.00000     0.00000     0.00000
   -77.18421     0.00000     0.00000     0.00000     0.00000
   -77.17321     0.00000     0.00000     0.00000     0.00000
   -77.16221     0.00000     0.00000     0.00000     0.00000
   -77.15221     0.00000     0.00000     0.00000     0.00000
   -77.14121     0.00000     0.00000     0.00000     0.00000
