     #Energy       W_all      Mo_all      Ru_all      Ti_all
   -74.75650     0.00000     0.00000     0.00000     0.00000
   -74.74650     0.00000     0.00000     0.00000     0.00000
   -74.73550     0.00000     0.00000     0.00000     0.00000
   -74.72450     0.00000     0.00000     0.00000     0.00000
   -74.71450     0.00000     0.00000     0.00000     0.00000
   -74.70350     0.00000     0.00000     0.00000     0.00000
   -74.69350     0.00000     0.00000     0.00000     0.00000
   -74.68250     0.00000     0.00000     0.00000     0.00000
   -74.67150     0.00000     0.00000     0.00000     0.00000
   -74.66150     0.00000     0.00000     0.00000     0.00000
   -74.65050     0.00000     0.00000     0.00000     0.00000
   -74.63950     0.00000     0.00000     0.00000     0.00000
   -74.62950     0.00000     0.00000     0.00000     0.00000
   -74.61850     0.00000     0.00000     0.00000     0.00000
   -74.60850     0.00000     0.00000     0.00000     0.00000
   -74.59750     0.00000     0.00000     0.00000     0.00000
   -74.58650     0.00000     0.00000     0.00000     0.00000
   -74.57650     0.00000     0.00000     0.00000     0.00000
   -74.56550     0.00000     0.00000     0.00000     0.00000
   -74.55550     0.00000     0.00000     0.00000     0.00000
   -74.54450     0.00000     0.00000     0.00000     0.00000
   -74.53350     0.00000     0.00000     0.00000     0.00000
   -74.52350     0.00000     0.00000     0.00000     0.00000
   -74.51250     0.00000     0.00000     0.00000     0.00000
   -74.50250     0.00000     0.00000     0.00000     0.00000
   -74.49150     0.00000     0.00000     0.00000     0.00000
   -74.48050     0.00000     0.00000     0.00000     0.00000
   -74.47050     0.00000     0.00000     0.00000     0.00000
   -74.45950     0.00000     0.00000     0.00000     0.00000
   -74.44950     0.00000     0.00000     0.00000     0.00000
   -74.43850     0.00000     0.00000     0.00000     0.00000
   -74.42750     0.00000     0.00000     0.00000     0.00000
   -74.41750     0.00000     0.00000     0.00000     0.00000
   -74.40650     0.00000     0.00000     0.00000     0.00000
   -74.39650     0.00000     0.00000     0.00000     0.00000
   -74.38550     0.00000     0.00000     0.00000     0.00000
   -74.37450     0.00000     0.00000     0.00000     0.00000
   -74.36450     0.00000     0.00000     0.00000     0.00000
   -74.35350     0.00000     0.00000     0.00000     0.00000
   -74.34350     0.00000     0.00000     0.00000     0.00000
   -74.33250     0.00000     0.00000     0.00000     0.00000
   -74.32150     0.00000     0.00000     0.00000     0.00000
   -74.31150     0.00000     0.00000     0.00000     0.00000
   -74.30050     0.00000     0.00000     0.00000     0.00000
   -74.29050     0.00000     0.00000     0.00000     0.00000
   -74.27950     0.00000     0.00000     0.00000     0.00000
   -74.26850     0.00000     0.00000     0.00000     0.00000
   -74.25850     0.00000     0.00000     0.00000     0.00000
   -74.24750     0.00000     0.00000     0.00000     0.00000
   -74.23750     0.00000     0.00000     0.00000     0.00000
   -74.22650     0.00000     0.00000     0.00000     0.00000
   -74.21550     0.00000     0.00000     0.00000     0.00000
   -74.20550   188.14813     0.00754     0.00360     0.00001
   -74.19450     0.00000     0.00000     0.00000     0.00000
   -74.18450     0.00000     0.00000     0.00000     0.00000
   -74.17350     0.00000     0.00000     0.00000     0.00000
   -74.16250     0.00000     0.00000     0.00000     0.00000
   -74.15250     0.00000     0.00000     0.00000     0.00000
   -74.14150     0.00000     0.00000     0.00000     0.00000
   -74.13150     0.00000     0.00000     0.00000     0.00000
   -74.12050     0.00000     0.00000     0.00000     0.00000
   -74.10950     0.00000     0.00000     0.00000     0.00000
   -74.09950     0.00000     0.00000     0.00000     0.00000
   -74.08850     0.00000     0.00000     0.00000     0.00000
   -74.07850     0.00000     0.00000     0.00000     0.00000
   -74.06750     0.00000     0.00000     0.00000     0.00000
   -74.05650     0.00000     0.00000     0.00000     0.00000
   -74.04650     0.00000     0.00000     0.00000     0.00000
   -74.03550   188.18723     0.01026     0.00073     0.00005
   -74.02550   188.15206     0.00847     0.00213     0.00078
   -74.01450     0.00000     0.00000     0.00000     0.00000
   -74.00350     0.00000     0.00000     0.00000     0.00000
   -73.99350     0.00000     0.00000     0.00000     0.00000
   -73.98250     0.00000     0.00000     0.00000     0.00000
   -73.97250     0.00000     0.00000     0.00000     0.00000
   -73.96150     0.00000     0.00000     0.00000     0.00000
   -73.95050     0.00000     0.00000     0.00000     0.00000
   -73.94050     0.00000     0.00000     0.00000     0.00000
   -73.92950     0.00000     0.00000     0.00000     0.00000
   -73.91950   188.13903     0.00213     0.00151     0.00084
   -73.90850     0.00000     0.00000     0.00000     0.00000
   -73.89750     0.00000     0.00000     0.00000     0.00000
   -73.88750     0.00000     0.00000     0.00000     0.00000
   -73.87650   188.13280     0.00150     0.00299     0.00147
   -73.86550   376.44305     0.01000     0.00529     0.00303
   -73.85550     0.00000     0.00000     0.00000     0.00000
   -73.84450   376.38308     0.00419     0.00588     0.00232
   -73.83450     0.00000     0.00000     0.00000     0.00000
   -73.82350   188.19310     0.00533     0.00196     0.00107
   -73.81250     0.00000     0.00000     0.00000     0.00000
   -73.80250     0.00000     0.00000     0.00000     0.00000
   -73.79150   188.24861     0.00337     0.00132     0.00064
   -73.78150     0.00000     0.00000     0.00000     0.00000
   -73.77050     0.00000     0.00000     0.00000     0.00000
   -73.75950     0.00000     0.00000     0.00000     0.00000
   -73.74950     0.00000     0.00000     0.00000     0.00000
   -73.73850     0.00000     0.00000     0.00000     0.00000
   -73.72850   376.46943     0.00995     0.00100     0.00304
   -73.71750     0.00000     0.00000     0.00000     0.00000
   -73.70650     0.00000     0.00000     0.00000     0.00000
   -73.69650     0.00000     0.00000     0.00000     0.00000
   -73.68550     0.00000     0.00000     0.00000     0.00000
   -73.67550   188.23551     0.00662     0.00107     0.00234
   -73.66450     0.00000     0.00000     0.00000     0.00000
   -73.65350   188.24975     0.00693     0.00216     0.00197
   -73.64350     0.00000     0.00000     0.00000     0.00000
   -73.63250   188.25088     0.00410     0.00005     0.00190
   -73.62250     0.00000     0.00000     0.00000     0.00000
   -73.61150     0.00000     0.00000     0.00000     0.00000
   -73.60050     0.00000     0.00000     0.00000     0.00000
   -73.59050     0.00000     0.00000     0.00000     0.00000
   -73.57950     0.00000     0.00000     0.00000     0.00000
   -73.56950     0.00000     0.00000     0.00000     0.00000
   -73.55850     0.00000     0.00000     0.00000     0.00000
   -73.54750     0.00000     0.00000     0.00000     0.00000
   -73.53750     0.00000     0.00000     0.00000     0.00000
   -73.52650     0.00000     0.00000     0.00000     0.00000
   -73.51650     0.00000     0.00000     0.00000     0.00000
   -73.50550     0.00000     0.00000     0.00000     0.00000
   -73.49450     0.00000     0.00000     0.00000     0.00000
   -73.48450     0.00000     0.00000     0.00000     0.00000
   -73.47350     0.00000     0.00000     0.00000     0.00000
   -73.46350     0.00000     0.00000     0.00000     0.00000
   -73.45250     0.00000     0.00000     0.00000     0.00000
   -73.44150     0.00000     0.00000     0.00000     0.00000
   -73.43150     0.00000     0.00000     0.00000     0.00000
   -73.42050     0.00000     0.00000     0.00000     0.00000
   -73.41050     0.00000     0.00000     0.00000     0.00000
