     #Energy       W_all      Mo_all      Ti_all      Ir_all
   -74.09282   187.17381     0.00723     0.00025     0.00269
   -74.08182   187.20981     0.00618     0.00034     0.00246
   -74.07082   187.07392     0.00650     0.00013     0.00133
   -74.06082     0.00000     0.00000     0.00000     0.00000
   -74.04982   906.17786     0.03933     0.00054     0.00865
   -74.03882   218.34609     0.00769     0.00005     0.00167
   -74.02882     0.00000     0.00000     0.00000     0.00000
   -74.01782     0.00000     0.00000     0.00000     0.00000
   -74.00682   187.13217     0.00754     0.00043     0.00162
   -73.99682   374.28026     0.01220     0.00113     0.00834
   -73.98582   187.15169     0.00740     0.00051     0.00165
   -73.97482     0.00000     0.00000     0.00000     0.00000
   -73.96482     0.00000     0.00000     0.00000     0.00000
   -73.95382   187.20722     0.00622     0.00024     0.00117
   -73.94282     0.00000     0.00000     0.00000     0.00000
   -73.93282     0.00000     0.00000     0.00000     0.00000
   -73.92182     0.00000     0.00000     0.00000     0.00000
   -73.91082     0.00000     0.00000     0.00000     0.00000
   -73.90082   187.17754     0.00719     0.00039     0.00034
   -73.88982     0.00000     0.00000     0.00000     0.00000
   -73.87882   187.15575     0.00568     0.00039     0.00027
   -73.86882     0.00000     0.00000     0.00000     0.00000
   -73.85782     0.00000     0.00000     0.00000     0.00000
   -73.84682     0.00000     0.00000     0.00000     0.00000
   -73.83682   187.21934     0.00410     0.00102     0.00006
   -73.82582     0.00000     0.00000     0.00000     0.00000
   -73.81482     0.00000     0.00000     0.00000     0.00000
   -73.80482     0.00000     0.00000     0.00000     0.00000
   -73.79382   187.15793     0.00382     0.00044     0.00013
   -73.78282     0.00000     0.00000     0.00000     0.00000
   -73.77282     0.00000     0.00000     0.00000     0.00000
   -73.76182     0.00000     0.00000     0.00000     0.00000
   -73.75082     0.00000     0.00000     0.00000     0.00000
   -73.74082     0.00000     0.00000     0.00000     0.00000
   -73.72982     0.00000     0.00000     0.00000     0.00000
   -73.71882     0.00000     0.00000     0.00000     0.00000
   -73.70882     0.00000     0.00000     0.00000     0.00000
   -73.69782     0.00000     0.00000     0.00000     0.00000
   -73.68682     0.00000     0.00000     0.00000     0.00000
   -73.67682     0.00000     0.00000     0.00000     0.00000
   -73.66582     0.00000     0.00000     0.00000     0.00000
   -73.65482     0.00000     0.00000     0.00000     0.00000
   -73.64482     0.00000     0.00000     0.00000     0.00000
   -73.63382     0.00000     0.00000     0.00000     0.00000
   -73.62282     0.00000     0.00000     0.00000     0.00000
   -73.61282     0.00000     0.00000     0.00000     0.00000
   -73.60182     0.00000     0.00000     0.00000     0.00000
   -73.59082     0.00000     0.00000     0.00000     0.00000
   -73.58082     0.00000     0.00000     0.00000     0.00000
   -73.56982     0.00000     0.00000     0.00000     0.00000
   -73.55882     0.00000     0.00000     0.00000     0.00000
   -73.54882     0.00000     0.00000     0.00000     0.00000
   -73.53782     0.00000     0.00000     0.00000     0.00000
   -73.52682     0.00000     0.00000     0.00000     0.00000
   -73.51682     0.00000     0.00000     0.00000     0.00000
   -73.50582     0.00000     0.00000     0.00000     0.00000
   -73.49582     0.00000     0.00000     0.00000     0.00000
   -73.48482     0.00000     0.00000     0.00000     0.00000
   -73.47382     0.00000     0.00000     0.00000     0.00000
   -73.46382     0.00000     0.00000     0.00000     0.00000
   -73.45282     0.00000     0.00000     0.00000     0.00000
   -73.44182     0.00000     0.00000     0.00000     0.00000
   -73.43182     0.00000     0.00000     0.00000     0.00000
   -73.42082     0.00000     0.00000     0.00000     0.00000
