     #Energy       W_all      Mo_all      Ti_all      Ru_all
   -76.52750     0.00000     0.00000     0.00000     0.00000
   -76.51550     0.00000     0.00000     0.00000     0.00000
   -76.50450     0.00000     0.00000     0.00000     0.00000
   -76.49350     0.00000     0.00000     0.00000     0.00000
   -76.48250     0.00000     0.00000     0.00000     0.00000
   -76.47150     0.00000     0.00000     0.00000     0.00000
   -76.46050     0.00000     0.00000     0.00000     0.00000
   -76.44950     0.00000     0.00000     0.00000     0.00000
   -76.43850     0.00000     0.00000     0.00000     0.00000
   -76.42750     0.00000     0.00000     0.00000     0.00000
   -76.41550     0.00000     0.00000     0.00000     0.00000
   -76.40450     0.00000     0.00000     0.00000     0.00000
   -76.39350     0.00000     0.00000     0.00000     0.00000
   -76.38250     0.00000     0.00000     0.00000     0.00000
   -76.37150     0.00000     0.00000     0.00000     0.00000
   -76.36050     0.00000     0.00000     0.00000     0.00000
   -76.34950     0.00000     0.00000     0.00000     0.00000
   -76.33850     0.00000     0.00000     0.00000     0.00000
   -76.32650     0.00000     0.00000     0.00000     0.00000
   -76.31550     0.00000     0.00000     0.00000     0.00000
   -76.30450     0.00000     0.00000     0.00000     0.00000
   -76.29350     0.00000     0.00000     0.00000     0.00000
   -76.28250     0.00000     0.00000     0.00000     0.00000
   -76.27150     0.00000     0.00000     0.00000     0.00000
   -76.26050     0.00000     0.00000     0.00000     0.00000
   -76.24950     0.00000     0.00000     0.00000     0.00000
   -76.23850     0.00000     0.00000     0.00000     0.00000
   -76.22650     0.00000     0.00000     0.00000     0.00000
   -76.21550     0.00000     0.00000     0.00000     0.00000
   -76.20450     0.00000     0.00000     0.00000     0.00000
   -76.19350     0.00000     0.00000     0.00000     0.00000
   -76.18250     0.00000     0.00000     0.00000     0.00000
   -76.17150     0.00000     0.00000     0.00000     0.00000
   -76.16050     0.00000     0.00000     0.00000     0.00000
   -76.14950     0.00000     0.00000     0.00000     0.00000
   -76.13750     0.00000     0.00000     0.00000     0.00000
   -76.12650     0.00000     0.00000     0.00000     0.00000
   -76.11550     0.00000     0.00000     0.00000     0.00000
   -76.10450     0.00000     0.00000     0.00000     0.00000
   -76.09350     0.00000     0.00000     0.00000     0.00000
   -76.08250     0.00000     0.00000     0.00000     0.00000
   -76.07150     0.00000     0.00000     0.00000     0.00000
   -76.06050     0.00000     0.00000     0.00000     0.00000
   -76.04850     0.00000     0.00000     0.00000     0.00000
   -76.03750     0.00000     0.00000     0.00000     0.00000
   -76.02650     0.00000     0.00000     0.00000     0.00000
   -76.01550     0.00000     0.00000     0.00000     0.00000
   -76.00450     0.00000     0.00000     0.00000     0.00000
   -75.99350     0.00000     0.00000     0.00000     0.00000
   -75.98250     0.00000     0.00000     0.00000     0.00000
   -75.97150     0.00000     0.00000     0.00000     0.00000
   -75.96050     0.00000     0.00000     0.00000     0.00000
   -75.94850     0.00000     0.00000     0.00000     0.00000
   -75.93750     0.00000     0.00000     0.00000     0.00000
   -75.92650     0.00000     0.00000     0.00000     0.00000
   -75.91550     0.00000     0.00000     0.00000     0.00000
   -75.90450     0.00000     0.00000     0.00000     0.00000
   -75.89350     0.00000     0.00000     0.00000     0.00000
   -75.88250     0.00000     0.00000     0.00000     0.00000
   -75.87150     0.00000     0.00000     0.00000     0.00000
   -75.85950     0.00000     0.00000     0.00000     0.00000
   -75.84850     0.00000     0.00000     0.00000     0.00000
   -75.83750     0.00000     0.00000     0.00000     0.00000
   -75.82650     0.00000     0.00000     0.00000     0.00000
   -75.81550     0.00000     0.00000     0.00000     0.00000
   -75.80450     0.00000     0.00000     0.00000     0.00000
   -75.79350     0.00000     0.00000     0.00000     0.00000
   -75.78250     0.00000     0.00000     0.00000     0.00000
   -75.77150     0.00000     0.00000     0.00000     0.00000
   -75.75950     0.00000     0.00000     0.00000     0.00000
   -75.74850     0.00000     0.00000     0.00000     0.00000
   -75.73750     0.00000     0.00000     0.00000     0.00000
   -75.72650     0.00000     0.00000     0.00000     0.00000
   -75.71550     0.00000     0.00000     0.00000     0.00000
   -75.70450     0.00000     0.00000     0.00000     0.00000
   -75.69350     0.00000     0.00000     0.00000     0.00000
   -75.68250     0.00000     0.00000     0.00000     0.00000
   -75.67050     0.00000     0.00000     0.00000     0.00000
   -75.65950     0.00000     0.00000     0.00000     0.00000
   -75.64850     0.00000     0.00000     0.00000     0.00000
   -75.63750     0.00000     0.00000     0.00000     0.00000
