     #Energy       W_all      Mo_all      Ti_all
   -72.82362     0.00000     0.00000     0.00000
   -72.81262     0.00000     0.00000     0.00000
   -72.80262     0.00000     0.00000     0.00000
   -72.79162     0.00000     0.00000     0.00000
   -72.78062     0.00000     0.00000     0.00000
   -72.77062     0.00000     0.00000     0.00000
   -72.75962     0.00000     0.00000     0.00000
   -72.74962     0.00000     0.00000     0.00000
   -72.73862     0.00000     0.00000     0.00000
   -72.72862     0.00000     0.00000     0.00000
   -72.71762     0.00000     0.00000     0.00000
   -72.70662     0.00000     0.00000     0.00000
   -72.69662     0.00000     0.00000     0.00000
   -72.68562     0.00000     0.00000     0.00000
   -72.67562     0.00000     0.00000     0.00000
   -72.66462     0.00000     0.00000     0.00000
   -72.65462     0.00000     0.00000     0.00000
   -72.64362     0.00000     0.00000     0.00000
   -72.63262     0.00000     0.00000     0.00000
   -72.62262     0.00000     0.00000     0.00000
   -72.61162     0.00000     0.00000     0.00000
   -72.60162     0.00000     0.00000     0.00000
   -72.59062     0.00000     0.00000     0.00000
   -72.58062     0.00000     0.00000     0.00000
   -72.56962     0.00000     0.00000     0.00000
   -72.55862     0.00000     0.00000     0.00000
   -72.54862     0.00000     0.00000     0.00000
   -72.53762     0.00000     0.00000     0.00000
   -72.52762     0.00000     0.00000     0.00000
   -72.51662     0.00000     0.00000     0.00000
   -72.50662     0.00000     0.00000     0.00000
   -72.49562     0.00000     0.00000     0.00000
   -72.48462     0.00000     0.00000     0.00000
   -72.47462     0.00000     0.00000     0.00000
   -72.46362     0.00000     0.00000     0.00000
   -72.45362     0.00000     0.00000     0.00000
   -72.44262     0.00000     0.00000     0.00000
   -72.43262     0.00000     0.00000     0.00000
   -72.42162     0.00000     0.00000     0.00000
   -72.41062     0.00000     0.00000     0.00000
   -72.40062     0.00000     0.00000     0.00000
   -72.38962     0.00000     0.00000     0.00000
   -72.37962     0.00000     0.00000     0.00000
   -72.36862     0.00000     0.00000     0.00000
   -72.35862     0.00000     0.00000     0.00000
   -72.34762     0.00000     0.00000     0.00000
   -72.33662     0.00000     0.00000     0.00000
   -72.32662     0.00000     0.00000     0.00000
   -72.31562     0.00000     0.00000     0.00000
   -72.30562     0.00000     0.00000     0.00000
   -72.29462     0.00000     0.00000     0.00000
   -72.28462     0.00000     0.00000     0.00000
   -72.27362     0.00000     0.00000     0.00000
   -72.26262     0.00000     0.00000     0.00000
   -72.25262     0.00000     0.00000     0.00000
   -72.24162     0.00000     0.00000     0.00000
   -72.23162     0.00000     0.00000     0.00000
   -72.22062     0.00000     0.00000     0.00000
   -72.20962     0.00000     0.00000     0.00000
   -72.19962     0.00000     0.00000     0.00000
   -72.18862     0.00000     0.00000     0.00000
   -72.17862     0.00000     0.00000     0.00000
   -72.16762     0.00000     0.00000     0.00000
   -72.15762     0.00000     0.00000     0.00000
   -72.14662     0.00000     0.00000     0.00000
   -72.13562     0.00000     0.00000     0.00000
   -72.12562     0.00000     0.00000     0.00000
   -72.11462     0.00000     0.00000     0.00000
   -72.10462     0.00000     0.00000     0.00000
   -72.09362     0.00000     0.00000     0.00000
   -72.08362     0.00000     0.00000     0.00000
   -72.07262     0.00000     0.00000     0.00000
   -72.06162     0.00000     0.00000     0.00000
   -72.05162     0.00000     0.00000     0.00000
   -72.04062     0.00000     0.00000     0.00000
   -72.03062     0.00000     0.00000     0.00000
   -72.01962     0.00000     0.00000     0.00000
   -72.00962     0.00000     0.00000     0.00000
   -71.99862     0.00000     0.00000     0.00000
   -71.98762     0.00000     0.00000     0.00000
   -71.97762     0.00000     0.00000     0.00000
   -71.96662     0.00000     0.00000     0.00000
   -71.95662     0.00000     0.00000     0.00000
   -71.94562     0.00000     0.00000     0.00000
   -71.93562     0.00000     0.00000     0.00000
   -71.92462     0.00000     0.00000     0.00000
   -71.91362     0.00000     0.00000     0.00000
   -71.90362     0.00000     0.00000     0.00000
   -71.89262     0.00000     0.00000     0.00000
   -71.88262     0.00000     0.00000     0.00000
   -71.87162     0.00000     0.00000     0.00000
   -71.86162     0.00000     0.00000     0.00000
   -71.85062     0.00000     0.00000     0.00000
   -71.83962     0.00000     0.00000     0.00000
   -71.82962     0.00000     0.00000     0.00000
   -71.81862     0.00000     0.00000     0.00000
   -71.80862     0.00000     0.00000     0.00000
   -71.79762     0.00000     0.00000     0.00000
   -71.78762     0.00000     0.00000     0.00000
   -71.77662     0.00000     0.00000     0.00000
   -71.76562     0.00000     0.00000     0.00000
   -71.75562     0.00000     0.00000     0.00000
   -71.74462     0.00000     0.00000     0.00000
   -71.73462     0.00000     0.00000     0.00000
   -71.72362     0.00000     0.00000     0.00000
   -71.71362     0.00000     0.00000     0.00000
   -71.70262     0.00000     0.00000     0.00000
   -71.69162     0.00000     0.00000     0.00000
   -71.68162     0.00000     0.00000     0.00000
   -71.67062     0.00000     0.00000     0.00000
   -71.66062     0.00000     0.00000     0.00000
   -71.64962     0.00000     0.00000     0.00000
   -71.63962     0.00000     0.00000     0.00000
   -71.62862     0.00000     0.00000     0.00000
   -71.61762     0.00000     0.00000     0.00000
   -71.60762     0.00000     0.00000     0.00000
   -71.59662     0.00000     0.00000     0.00000
   -71.58662     0.00000     0.00000     0.00000
   -71.57562     0.00000     0.00000     0.00000
   -71.56562     0.00000     0.00000     0.00000
   -71.55462     0.00000     0.00000     0.00000
   -71.54362     0.00000     0.00000     0.00000
   -71.53362     0.00000     0.00000     0.00000
   -71.52262     0.00000     0.00000     0.00000
   -71.51262     0.00000     0.00000     0.00000
   -71.50162     0.00000     0.00000     0.00000
   -71.49162     0.00000     0.00000     0.00000
   -71.48062     0.00000     0.00000     0.00000
   -71.46962     0.00000     0.00000     0.00000
   -71.45962     0.00000     0.00000     0.00000
   -71.44862     0.00000     0.00000     0.00000
   -71.43862     0.00000     0.00000     0.00000
   -71.42762     0.00000     0.00000     0.00000
   -71.41662     0.00000     0.00000     0.00000
