     #Energy       W_all      Mo_all      Rh_all      Hf_all
   -75.95373     0.00000     0.00000     0.00000     0.00000
   -75.94273     0.00000     0.00000     0.00000     0.00000
   -75.93173     0.00000     0.00000     0.00000     0.00000
   -75.92173     0.00000     0.00000     0.00000     0.00000
   -75.91073     0.00000     0.00000     0.00000     0.00000
   -75.89973     0.00000     0.00000     0.00000     0.00000
   -75.88873     0.00000     0.00000     0.00000     0.00000
   -75.87773     0.00000     0.00000     0.00000     0.00000
   -75.86673     0.00000     0.00000     0.00000     0.00000
   -75.85673     0.00000     0.00000     0.00000     0.00000
   -75.84573     0.00000     0.00000     0.00000     0.00000
   -75.83473     0.00000     0.00000     0.00000     0.00000
