     #Energy       W_all      Mo_all      Ru_all      Zr_all
   -74.96878     0.00000     0.00000     0.00000     0.00000
   -74.95778     0.00000     0.00000     0.00000     0.00000
   -74.94678     0.00000     0.00000     0.00000     0.00000
   -74.93578     0.00000     0.00000     0.00000     0.00000
   -74.92578     0.00000     0.00000     0.00000     0.00000
   -74.91478     0.00000     0.00000     0.00000     0.00000
   -74.90378     0.00000     0.00000     0.00000     0.00000
   -74.89278     0.00000     0.00000     0.00000     0.00000
   -74.88278     0.00000     0.00000     0.00000     0.00000
   -74.87178     0.00000     0.00000     0.00000     0.00000
   -74.86078     0.00000     0.00000     0.00000     0.00000
   -74.84978     0.00000     0.00000     0.00000     0.00000
   -74.83978     0.00000     0.00000     0.00000     0.00000
   -74.82878     0.00000     0.00000     0.00000     0.00000
   -74.81778     0.00000     0.00000     0.00000     0.00000
   -74.80678     0.00000     0.00000     0.00000     0.00000
   -74.79578     0.00000     0.00000     0.00000     0.00000
   -74.78578     0.00000     0.00000     0.00000     0.00000
   -74.77478     0.00000     0.00000     0.00000     0.00000
   -74.76378     0.00000     0.00000     0.00000     0.00000
   -74.75278     0.00000     0.00000     0.00000     0.00000
   -74.74278     0.00000     0.00000     0.00000     0.00000
   -74.73178     0.00000     0.00000     0.00000     0.00000
   -74.72078     0.00000     0.00000     0.00000     0.00000
   -74.70978     0.00000     0.00000     0.00000     0.00000
   -74.69978     0.00000     0.00000     0.00000     0.00000
   -74.68878     0.00000     0.00000     0.00000     0.00000
   -74.67778     0.00000     0.00000     0.00000     0.00000
   -74.66678     0.00000     0.00000     0.00000     0.00000
   -74.65678     0.00000     0.00000     0.00000     0.00000
   -74.64578     0.00000     0.00000     0.00000     0.00000
   -74.63478     0.00000     0.00000     0.00000     0.00000
   -74.62378     0.00000     0.00000     0.00000     0.00000
   -74.61378     0.00000     0.00000     0.00000     0.00000
   -74.60278     0.00000     0.00000     0.00000     0.00000
   -74.59178     0.00000     0.00000     0.00000     0.00000
   -74.58078     0.00000     0.00000     0.00000     0.00000
   -74.57078     0.00000     0.00000     0.00000     0.00000
   -74.55978     0.00000     0.00000     0.00000     0.00000
   -74.54878     0.00000     0.00000     0.00000     0.00000
   -74.53778     0.00000     0.00000     0.00000     0.00000
   -74.52778     0.00000     0.00000     0.00000     0.00000
   -74.51678     0.00000     0.00000     0.00000     0.00000
   -74.50578     0.00000     0.00000     0.00000     0.00000
   -74.49478     0.00000     0.00000     0.00000     0.00000
   -74.48478     0.00000     0.00000     0.00000     0.00000
   -74.47378     0.00000     0.00000     0.00000     0.00000
   -74.46278     0.00000     0.00000     0.00000     0.00000
   -74.45178     0.00000     0.00000     0.00000     0.00000
   -74.44178     0.00000     0.00000     0.00000     0.00000
   -74.43078     0.00000     0.00000     0.00000     0.00000
   -74.41978     0.00000     0.00000     0.00000     0.00000
   -74.40878     0.00000     0.00000     0.00000     0.00000
   -74.39878     0.00000     0.00000     0.00000     0.00000
   -74.38778     0.00000     0.00000     0.00000     0.00000
   -74.37678     0.00000     0.00000     0.00000     0.00000
   -74.36578     0.00000     0.00000     0.00000     0.00000
   -74.35578     0.00000     0.00000     0.00000     0.00000
   -74.34478     0.00000     0.00000     0.00000     0.00000
   -74.33378     0.00000     0.00000     0.00000     0.00000
   -74.32278     0.00000     0.00000     0.00000     0.00000
   -74.31278     0.00000     0.00000     0.00000     0.00000
   -74.30178     0.00000     0.00000     0.00000     0.00000
   -74.29078     0.00000     0.00000     0.00000     0.00000
   -74.27978     0.00000     0.00000     0.00000     0.00000
   -74.26978     0.00000     0.00000     0.00000     0.00000
   -74.25878     0.00000     0.00000     0.00000     0.00000
   -74.24778     0.00000     0.00000     0.00000     0.00000
   -74.23678     0.00000     0.00000     0.00000     0.00000
   -74.22678     0.00000     0.00000     0.00000     0.00000
   -74.21578     0.00000     0.00000     0.00000     0.00000
   -74.20478     0.00000     0.00000     0.00000     0.00000
   -74.19378     0.00000     0.00000     0.00000     0.00000
   -74.18378     0.00000     0.00000     0.00000     0.00000
   -74.17278     0.00000     0.00000     0.00000     0.00000
   -74.16178     0.00000     0.00000     0.00000     0.00000
   -74.15078     0.00000     0.00000     0.00000     0.00000
   -74.14078   185.49701     0.00982     0.00063     0.00003
   -74.12978   185.44990     0.00552     0.00080     0.00011
   -74.11878     0.00000     0.00000     0.00000     0.00000
   -74.10778   185.51346     0.00518     0.00078     0.00005
   -74.09778     0.00000     0.00000     0.00000     0.00000
   -74.08678     0.00000     0.00000     0.00000     0.00000
   -74.07578   185.57307     0.00800     0.00063     0.00003
   -74.06478   185.59293     0.00200     0.00209     0.00087
   -74.05478     0.00000     0.00000     0.00000     0.00000
   -74.04378     0.00000     0.00000     0.00000     0.00000
   -74.03278     0.00000     0.00000     0.00000     0.00000
   -74.02178     0.00000     0.00000     0.00000     0.00000
   -74.01178   185.57715     0.00223     0.00093     0.00013
   -74.00078     0.00000     0.00000     0.00000     0.00000
   -73.98978     0.00000     0.00000     0.00000     0.00000
   -73.97878   185.63258     0.00336     0.00067     0.00039
   -73.96878     0.00000     0.00000     0.00000     0.00000
   -73.95778     0.00000     0.00000     0.00000     0.00000
   -73.94678   371.05518     0.01174     0.00185     0.00219
   -73.93578     0.00000     0.00000     0.00000     0.00000
   -73.92578     0.00000     0.00000     0.00000     0.00000
   -73.91478   185.47400     0.00305     0.00113     0.00062
   -73.90378     0.00000     0.00000     0.00000     0.00000
   -73.89278     0.00000     0.00000     0.00000     0.00000
   -73.88278   185.54706     0.00298     0.00098     0.00077
   -73.87178     0.00000     0.00000     0.00000     0.00000
   -73.86078   185.64832     0.00354     0.00011     0.00072
   -73.84978   185.59810     0.00453     0.00009     0.00090
   -73.83978     0.00000     0.00000     0.00000     0.00000
   -73.82878     0.00000     0.00000     0.00000     0.00000
   -73.81778     0.00000     0.00000     0.00000     0.00000
   -73.80678     0.00000     0.00000     0.00000     0.00000
   -73.79678     0.00000     0.00000     0.00000     0.00000
   -73.78578     0.00000     0.00000     0.00000     0.00000
   -73.77478     0.00000     0.00000     0.00000     0.00000
   -73.76378     0.00000     0.00000     0.00000     0.00000
   -73.75378     0.00000     0.00000     0.00000     0.00000
   -73.74278     0.00000     0.00000     0.00000     0.00000
   -73.73178   185.59603     0.00448     0.00001     0.00086
   -73.72078     0.00000     0.00000     0.00000     0.00000
   -73.71078     0.00000     0.00000     0.00000     0.00000
   -73.69978     0.00000     0.00000     0.00000     0.00000
   -73.68878     0.00000     0.00000     0.00000     0.00000
   -73.67778     0.00000     0.00000     0.00000     0.00000
   -73.66778     0.00000     0.00000     0.00000     0.00000
   -73.65678     0.00000     0.00000     0.00000     0.00000
   -73.64578     0.00000     0.00000     0.00000     0.00000
   -73.63478     0.00000     0.00000     0.00000     0.00000
   -73.62378     0.00000     0.00000     0.00000     0.00000
   -73.61378     0.00000     0.00000     0.00000     0.00000
   -73.60278     0.00000     0.00000     0.00000     0.00000
   -73.59178     0.00000     0.00000     0.00000     0.00000
   -73.58078     0.00000     0.00000     0.00000     0.00000
   -73.57078     0.00000     0.00000     0.00000     0.00000
   -73.55978     0.00000     0.00000     0.00000     0.00000
   -73.54878     0.00000     0.00000     0.00000     0.00000
   -73.53778     0.00000     0.00000     0.00000     0.00000
   -73.52778     0.00000     0.00000     0.00000     0.00000
   -73.51678     0.00000     0.00000     0.00000     0.00000
   -73.50578     0.00000     0.00000     0.00000     0.00000
   -73.49478     0.00000     0.00000     0.00000     0.00000
   -73.48478     0.00000     0.00000     0.00000     0.00000
   -73.47378     0.00000     0.00000     0.00000     0.00000
   -73.46278     0.00000     0.00000     0.00000     0.00000
   -73.45178     0.00000     0.00000     0.00000     0.00000
   -73.44178     0.00000     0.00000     0.00000     0.00000
   -73.43078     0.00000     0.00000     0.00000     0.00000
   -73.41978     0.00000     0.00000     0.00000     0.00000
   -73.40878     0.00000     0.00000     0.00000     0.00000
   -73.39878     0.00000     0.00000     0.00000     0.00000
   -73.38778     0.00000     0.00000     0.00000     0.00000
   -73.37678     0.00000     0.00000     0.00000     0.00000
   -73.36578     0.00000     0.00000     0.00000     0.00000
   -73.35578     0.00000     0.00000     0.00000     0.00000
   -73.34478     0.00000     0.00000     0.00000     0.00000
   -73.33378     0.00000     0.00000     0.00000     0.00000
   -73.32278     0.00000     0.00000     0.00000     0.00000
   -73.31278     0.00000     0.00000     0.00000     0.00000
   -73.30178     0.00000     0.00000     0.00000     0.00000
   -73.29078     0.00000     0.00000     0.00000     0.00000
   -73.27978     0.00000     0.00000     0.00000     0.00000
   -73.26978     0.00000     0.00000     0.00000     0.00000
   -73.25878     0.00000     0.00000     0.00000     0.00000
   -73.24778     0.00000     0.00000     0.00000     0.00000
   -73.23678     0.00000     0.00000     0.00000     0.00000
