     #Energy       W_all      Mo_all      Ti_all      Pd_all
   -73.28602     0.00000     0.00000     0.00000     0.00000
   -73.27602     0.00000     0.00000     0.00000     0.00000
   -73.26502     0.00000     0.00000     0.00000     0.00000
   -73.25502     0.00000     0.00000     0.00000     0.00000
   -73.24402     0.00000     0.00000     0.00000     0.00000
   -73.23402     0.00000     0.00000     0.00000     0.00000
   -73.22302     0.00000     0.00000     0.00000     0.00000
   -73.21202     0.00000     0.00000     0.00000     0.00000
   -73.20202     0.00000     0.00000     0.00000     0.00000
   -73.19102     0.00000     0.00000     0.00000     0.00000
   -73.18102     0.00000     0.00000     0.00000     0.00000
   -73.17002     0.00000     0.00000     0.00000     0.00000
   -73.15902     0.00000     0.00000     0.00000     0.00000
   -73.14902     0.00000     0.00000     0.00000     0.00000
   -73.13802     0.00000     0.00000     0.00000     0.00000
   -73.12802     0.00000     0.00000     0.00000     0.00000
   -73.11702     0.00000     0.00000     0.00000     0.00000
   -73.10602     0.00000     0.00000     0.00000     0.00000
   -73.09602     0.00000     0.00000     0.00000     0.00000
   -73.08502     0.00000     0.00000     0.00000     0.00000
   -73.07502     0.00000     0.00000     0.00000     0.00000
   -73.06402     0.00000     0.00000     0.00000     0.00000
   -73.05302     0.00000     0.00000     0.00000     0.00000
   -73.04302     0.00000     0.00000     0.00000     0.00000
   -73.03202     0.00000     0.00000     0.00000     0.00000
   -73.02202     0.00000     0.00000     0.00000     0.00000
   -73.01102     0.00000     0.00000     0.00000     0.00000
   -73.00002     0.00000     0.00000     0.00000     0.00000
   -72.99002     0.00000     0.00000     0.00000     0.00000
   -72.97902     0.00000     0.00000     0.00000     0.00000
   -72.96902     0.00000     0.00000     0.00000     0.00000
   -72.95802     0.00000     0.00000     0.00000     0.00000
   -72.94702     0.00000     0.00000     0.00000     0.00000
   -72.93702     0.00000     0.00000     0.00000     0.00000
   -72.92602     0.00000     0.00000     0.00000     0.00000
   -72.91602     0.00000     0.00000     0.00000     0.00000
   -72.90502     0.00000     0.00000     0.00000     0.00000
   -72.89402     0.00000     0.00000     0.00000     0.00000
   -72.88402     0.00000     0.00000     0.00000     0.00000
   -72.87302     0.00000     0.00000     0.00000     0.00000
   -72.86302     0.00000     0.00000     0.00000     0.00000
   -72.85202     0.00000     0.00000     0.00000     0.00000
   -72.84202     0.00000     0.00000     0.00000     0.00000
   -72.83102     0.00000     0.00000     0.00000     0.00000
   -72.82002     0.00000     0.00000     0.00000     0.00000
   -72.81002     0.00000     0.00000     0.00000     0.00000
   -72.79902     0.00000     0.00000     0.00000     0.00000
   -72.78902     0.00000     0.00000     0.00000     0.00000
   -72.77802     0.00000     0.00000     0.00000     0.00000
   -72.76702     0.00000     0.00000     0.00000     0.00000
   -72.75702     0.00000     0.00000     0.00000     0.00000
   -72.74602     0.00000     0.00000     0.00000     0.00000
   -72.73602     0.00000     0.00000     0.00000     0.00000
   -72.72502     0.00000     0.00000     0.00000     0.00000
   -72.71402     0.00000     0.00000     0.00000     0.00000
   -72.70402     0.00000     0.00000     0.00000     0.00000
   -72.69302     0.00000     0.00000     0.00000     0.00000
   -72.68302     0.00000     0.00000     0.00000     0.00000
   -72.67202     0.00000     0.00000     0.00000     0.00000
   -72.66102     0.00000     0.00000     0.00000     0.00000
   -72.65102     0.00000     0.00000     0.00000     0.00000
   -72.64002     0.00000     0.00000     0.00000     0.00000
   -72.63002     0.00000     0.00000     0.00000     0.00000
   -72.61902     0.00000     0.00000     0.00000     0.00000
   -72.60802     0.00000     0.00000     0.00000     0.00000
   -72.59802     0.00000     0.00000     0.00000     0.00000
