     #Energy        Ta_s        V__s       Ta_py       V__py       Ta_pz       V__pz       Ta_px       V__px      Ta_dxy      V__dxy      Ta_dyz      V__dyz      Ta_dz2      V__dz2      Ta_dxz      V__dxz      Ta_dx2      V__dx2
   -38.80687    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -38.56287    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -38.31887    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -38.07487    -0.00000    -0.00000    -0.00000    -0.00084    -0.00000    -0.00074    -0.00000    -0.00074    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -37.83087    -0.00011     0.00000    -0.00120    -0.25942    -0.00133    -0.29349    -0.00132    -0.33939    -0.00006    -0.00003    -0.00006    -0.00003    -0.00001    -0.00000    -0.00007    -0.00003    -0.00001     0.00000
   -37.58687     0.01067     0.00692     0.14465    56.30160     0.14707    56.06800     0.13421    55.14500     0.00604     0.00391     0.00647     0.00379     0.00238     0.00075     0.00633     0.00364     0.00223     0.00084
   -37.34287     0.01120     0.00606     0.18173    75.50400     0.17479    72.35900     0.18920    74.70000     0.01241     0.00510     0.01171     0.00517     0.00108     0.00053     0.01207     0.00590     0.00119     0.00050
   -37.09887     0.00150     0.00171     0.02398    13.94007     0.03057    17.37910     0.02660    16.00605     0.00181     0.00172     0.00201     0.00168     0.00013     0.00007     0.00222     0.00136     0.00010     0.00006
   -36.85487    -0.00001    -0.00001    -0.00011    -0.07475    -0.00014    -0.10133    -0.00013    -0.08663    -0.00001    -0.00001    -0.00001    -0.00001    -0.00000    -0.00000    -0.00001    -0.00001    -0.00000    -0.00000
   -36.61087    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -36.36687     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.12287     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -35.87887     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -35.63487     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -35.39087     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -35.14687    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
