     #Energy         W_s        Ir_s        W_py       Ir_py        W_pz       Ir_pz        W_px       Ir_px       W_dxy      Ir_dxy       W_dyz      Ir_dyz       W_dz2      Ir_dz2       W_dxz      Ir_dxz       W_dx2      Ir_dx2
   -41.66614     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -41.36014     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -41.05414     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -40.74714     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -40.44114     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -40.13514     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -39.82814    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -39.52214    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -39.21514    -0.00000    -0.00000    -0.00224    -0.00000    -0.00230    -0.00000    -0.00232    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -38.90914     0.00142     0.00126     5.82737     0.00075     5.95625     0.00093     5.91022     0.00077     0.00113     0.00036     0.00137     0.00045     0.00047     0.00017     0.00123     0.00040     0.00047     0.00016
   -38.60314     0.03668     0.02528    69.69640     0.00942    69.45710     0.00971    68.79270     0.00934     0.02269     0.00626     0.02296     0.00622     0.00874     0.00246     0.02238     0.00662     0.00890     0.00222
   -38.29614     0.03797     0.01980    69.28540     0.01028    69.65830     0.01171    68.26570     0.01101     0.03927     0.00974     0.03910     0.01015     0.00498     0.00193     0.04050     0.01020     0.00538     0.00166
   -37.99014     0.02600     0.00957    78.10300     0.00566    78.61680     0.00554    79.17800     0.00571     0.04494     0.00705     0.04546     0.00683     0.00235     0.00121     0.04465     0.00708     0.00263     0.00102
   -37.68414     0.01368     0.00523    74.20910     0.00288    73.40230     0.00293    74.95960     0.00306     0.02232     0.00356     0.02251     0.00360     0.00104     0.00050     0.02235     0.00376     0.00108     0.00041
   -37.37714    -0.00016    -0.00007    -1.09222    -0.00004    -1.07148    -0.00004    -1.08408    -0.00004    -0.00025    -0.00005    -0.00024    -0.00004    -0.00001    -0.00001    -0.00024    -0.00005    -0.00001    -0.00000
   -37.07114    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -36.76514     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.45814     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
