     #Energy        Nb_s        Zr_s       Nb_py       Zr_py       Nb_pz       Zr_pz       Nb_px       Zr_px      Nb_dxy      Zr_dxy      Nb_dyz      Zr_dyz      Nb_dz2      Zr_dz2      Nb_dxz      Zr_dxz      Nb_dx2      Zr_dx2
   -31.72480    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -31.51480    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -31.30480    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -31.09480    -0.00003    -0.00001    -0.02684    -0.00005    -0.02970    -0.00007    -0.03202    -0.00006    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -30.88480     0.00245     0.00052     2.16967     0.00432     2.61036     0.00595     2.63748     0.00439     0.00038     0.00027     0.00031     0.00026     0.00015     0.00005     0.00043     0.00023     0.00011     0.00004
   -30.67480     0.01253     0.00788    30.36600     0.06885    27.32290     0.06200    28.56310     0.07423     0.00483     0.00288     0.00423     0.00268     0.00129     0.00120     0.00474     0.00278     0.00110     0.00145
   -30.46580     0.01047     0.01083    28.50770     0.10970    40.97100     0.09558    30.02230     0.12212     0.00614     0.00527     0.00517     0.00367     0.00137     0.00157     0.00495     0.00426     0.00082     0.00117
   -30.25580     0.00795     0.01062    43.65420     0.12212    26.16860     0.14407    43.26180     0.11941     0.00449     0.00566     0.00706     0.00740     0.00055     0.00079     0.00558     0.00734     0.00109     0.00137
   -30.04580     0.00760     0.00597    28.92080     0.07839    31.03360     0.07844    31.04060     0.07916     0.00484     0.00448     0.00550     0.00419     0.00045     0.00040     0.00501     0.00426     0.00049     0.00046
   -29.83580     0.01110     0.00440    31.53640     0.06654    38.08170     0.06953    29.57660     0.07031     0.00609     0.00365     0.00663     0.00344     0.00030     0.00026     0.00723     0.00383     0.00013     0.00022
