     #Energy        Mo_s        Zr_s       Mo_py       Zr_py       Mo_pz       Zr_pz       Mo_px       Zr_px      Mo_dxy      Zr_dxy      Mo_dyz      Zr_dyz      Mo_dz2      Zr_dz2      Mo_dxz      Zr_dxz      Mo_dx2      Zr_dx2
   -36.51800     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.28500     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -36.05200    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -35.81900    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -35.58600    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -35.35300    -0.00000    -0.00000    -0.00007    -0.00000    -0.00006    -0.00000    -0.00007    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -35.12000    -0.00013    -0.00006    -0.25550    -0.00012    -0.21753    -0.00013    -0.20724    -0.00009    -0.00007    -0.00002    -0.00007    -0.00002    -0.00002    -0.00001    -0.00010    -0.00002    -0.00002    -0.00001
   -34.88600     0.00721     0.00378    14.53681     0.00726    13.40104     0.00822    12.47568     0.00672     0.00456     0.00111     0.00419     0.00123     0.00097     0.00050     0.00538     0.00122     0.00101     0.00041
   -34.65300     0.01073     0.01405    34.21490     0.02553    37.01130     0.02688    36.35320     0.02762     0.01072     0.00372     0.01158     0.00351     0.00168     0.00142     0.00936     0.00386     0.00178     0.00133
   -34.42000     0.00957     0.01412    40.39600     0.03562    36.40870     0.03458    41.21110     0.03454     0.00886     0.00687     0.00911     0.00679     0.00119     0.00084     0.00952     0.00652     0.00140     0.00083
   -34.18700     0.01141     0.01450    60.01100     0.03726    61.52500     0.03575    58.69200     0.03777     0.01434     0.00830     0.01487     0.00811     0.00089     0.00074     0.01533     0.00817     0.00073     0.00070
   -33.95400     0.00075     0.00039     3.28664     0.00105     4.06097     0.00111     3.66348     0.00106     0.00128     0.00023     0.00117     0.00026     0.00002     0.00002     0.00106     0.00025     0.00002     0.00002
   -33.72100    -0.00000    -0.00000    -0.01109    -0.00000    -0.01359    -0.00000    -0.01140    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -33.48800    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -33.25500     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -33.02100     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
