     #Energy        Ta_s        Zr_s       Ta_py       Zr_py       Ta_pz       Zr_pz       Ta_px       Zr_px      Ta_dxy      Zr_dxy      Ta_dyz      Zr_dyz      Ta_dz2      Zr_dz2      Ta_dxz      Zr_dxz      Ta_dx2      Zr_dx2
   -28.93844     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.75044     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.56244     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.37444     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -28.18544     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.99744     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -27.80944    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -27.62144    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -27.43344    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -27.24444    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -27.05644    -0.00001    -0.00001    -0.00001    -0.02035    -0.00002    -0.02405    -0.00002    -0.03510    -0.00000    -0.00001    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -26.86844     0.00014     0.00054     0.00033     0.74190     0.00072     0.92102     0.00073     1.50275     0.00006     0.00025     0.00008     0.00019     0.00013     0.00008     0.00009     0.00008     0.00008     0.00016
   -26.68044     0.00646     0.00848     0.01112    15.33060     0.01939    18.01310     0.01779    19.92300     0.00245     0.00344     0.00213     0.00357     0.00244     0.00150     0.00284     0.00261     0.00143     0.00142
   -26.49144     0.01522     0.01317     0.03281    27.44440     0.03899    26.16730     0.03421    23.60240     0.00568     0.00474     0.00575     0.00520     0.00239     0.00176     0.00587     0.00535     0.00183     0.00192
   -26.30344     0.02518     0.01256     0.06329    42.51300     0.06295    40.01900     0.06087    41.73200     0.01223     0.00771     0.01376     0.00798     0.00312     0.00251     0.01319     0.00852     0.00282     0.00320
